"block","code","desc","level","card"
"C","C330","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","5","1:1"
"C","C380","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","4","1:1"
"C","C430","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02, 02D e 60)","6","1:1"
"C","C480","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","6","1:1"
"C","C591","Informações do Fundo de Combate à Pobreza – FCP na NF3e (código 66)","4","1:1"
"C","C595","Observações do Lançamento Fiscal (códigos 06, 28, 29 e 66)","3","1:N"
"C","C597","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal.","4","1:N"
"C","C810","Itens do documento do cupom fiscal eletrônico – SAT (CF-E-SAT) (código 59)","3","1:N"
"C","C815","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59)","4","1:1"
"C","C870","Itens do documento do cupom fiscal eletrônico – SAT (CF-E-SAT) (código 59)","3","1:N"
"C","C880","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59)","4","1:1"
"0","0002","Classificação do Estabelecimento Industrial ou Equiparado a Industrial","1","1 por arquivo"
"H","H030","Informações complementares do inventário das mercadorias sujeitas ao regime de substituição tributária","4","1:1"
"1","1250","Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS","2","1:1"
"1","1255","Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS por motivo","3","1:N"
"0","0000","Abertura do Arquivo Digital e Identificação da entidade","0","1"
"0","0001","Abertura do Bloco 0","1","1"
"0","0002","Classificação do Estabelecimento Industrial ou Equiparado a Industrial","1","1"
"0","0005","Dados Complementares da entidade","2","1"
"0","0015","Dados do Contribuinte Substituto ou Responsável pelo ICMS Destino","2","V"
"0","0100","Dados do Contabilista","2","1"
"0","0150","Tabela de Cadastro do Participante","2","V"
"0","0175","Alteração da Tabela de Cadastro de Participante","3","1:N"
"0","0190","Identificação das unidades de medida","2","V"
"0","0200","Tabela de Identificação do Item (Produtos e Serviços)","2","V"
"0","0205","Alteração do Item","3","1:N"
"0","0206","Código de produto conforme Tabela ANP","3","1:1"
"0","0210","Consumo Específico Padronizado","3","1:N"
"0","0220","Fatores de Conversão de Unidades","3","1:N"
"0","0300","Cadastro de bens ou componentes do Ativo Imobilizado","2","V"
"0","0305","Informação sobre a Utilização do Bem","3","1:1"
"0","0400","Tabela de Natureza da Operação/ Prestação","2","V"
"0","0450","Tabela de Informação Complementar do documento fiscal","2","V"
"0","0460","Tabela de Observações do Lançamento Fiscal","2","V"
"0","0500","Plano de contas contábeis","2","V"
"0","0600","Centro de custos","2","V"
"0","0990","Encerramento do Bloco 0","1","1"
"B","B001","Abertura do Bloco B","1","1"
"B","B020","Nota Fiscal (código 01), Nota Fiscal de Serviços (código 03), Nota Fiscal de Serviços Avulsa (código 3B), Nota Fiscal de Produtor (código 04), Conhecimento de Transporte Rodoviário de Cargas (código 08), NF-e (código 55) e NFC-e (código 65)","2","V"
"B","B025","Detalhamento por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003","3","1:N"
"B","B030","Nota Fiscal de Serviços Simplificada (código 3A)","2","V"
"B","B350","Serviços prestados por instituições financeiras","2","V"
"B","B420","Totalização dos valores de serviços prestados por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003","2","V"
"B","B440","Totalização dos valores retidos","2","V"
"B","B460","Deduções do ISS","2","V"
"B","B470","Apuração do ISS","2","1"
"B","B500","Apuração do ISS sociedade uniprofissional","2","1"
"B","B510","Uniprofissional – empregados e sócios","3","V"
"B","B990","Encerramento do Bloco B","1","1"
"C","C001","Abertura do Bloco C","1","1"
"C","C100","Documento - Nota Fiscal (código 01), Nota Fiscal Avulsa (código 1B), Nota Fiscal de Produtor (código 04), Nota Fiscal Eletrônica (código 55) e Nota Fiscal Eletrônica para Consumidor Final (código 65)","2","V"
"C","C101","Informação complementar dos documentos fiscais quando das operações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (código 55)","3","1:1"
"C","C105","Operações com ICMS ST recolhido para UF diversa do destinatário do documento fiscal (Código 55)","3","1:1"
"C","C110","Complemento de Documento - Informação Complementar da Nota Fiscal (código 01, 1B, 55)","3","1:N"
"C","C111","Complemento de Documento - Processo referenciado","4","1:N"
"C","C112","Complemento de Documento - Documento de Arrecadação Referenciado","4","1:N"
"C","C113","Complemento de Documento - Documento Fiscal Referenciado","4","1:N"
"C","C114","Complemento de Documento - Cupom Fiscal Referenciado","4","1:N"
"C","C115","Local de coleta e/ou entrega (CÓDIGOS 01, 1B e 04)","4","1:N"
"C","C116","Cupom Fiscal Eletrônico - CF-e referenciado","4","1:N"
"C","C120","Complemento de Documento - Operações de Importação (código 01 e 55)","3","1:N"
"C","C130","Complemento de Documento - ISSQN, IRRF e Previdência Social","3","1:1"
"C","C140","Complemento de Documento - Fatura (código 01)","3","1:1"
"C","C141","Complemento de Documento - Vencimento da Fatura (código 01)","4","1:N"
"C","C160","Complemento de Documento - Volumes Transportados (código 01 e 04) Exceto Combustíveis","3","1:1"
"C","C165","Complemento de Documento - Operações com combustíveis (código 01)","3","1:N"
"C","C170","Complemento de Documento - Itens do Documento (código 01, 1B, 04 e 55)","3","1:N"
"C","C171","Complemento de Item - Armazenamento de Combustíveis (código 01,55)","4","1:N"
"C","C172","Complemento de Item - Operações com ISSQN (código 01)","4","1:1"
"C","C173","Complemento de Item - Operações com Medicamentos (código 01,55)","4","1:N"
"C","C174","Complemento de Item - Operações com Armas de Fogo (código 01)","4","1:N"
"C","C175","Complemento de Item - Operações com Veículos Novos (código 01,55)","4","1:N"
"C","C176","Complemento de Item -Ressarcimento de ICMS em operações com Substituição Tributária (código 01,55)","4","1:N"
"C","C177","Complemento de Item – Outras informações (Cód. 01, 55) – (Válido a partir de 01/01/2019)","4","1:1"
"C","C178","Complemento de Item - Operações com Produtos Sujeitos a Tributação de IPI por Unidade ou Quantidade de produto","4","1:1"
"C","C179","Complemento de Item - Informações Complementares ST (código 01)","4","1:1"
"C","C180","Informações complementares das operações de entrada de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)","4","1:1"
"C","C185","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)","3","1:N"
"C","C190","Registro Analítico do Documento (código 01, 1B, 04, 55 e 65)","3","1:N"
"C","C191","Informações do Fundo de Combate à Pobreza – FCP – na NF-e (Código 55)","4","1:1"
"C","C195","Complemento do Registro Analítico - Observações do Lançamento Fiscal (código 01, 1B, 04 e 55)","3","1:N"
"C","C197","Outras Obrigações Tributárias, Ajustes e Informações provenientes de Documento Fiscal","4","1:N"
"C","C300","Documento - Resumo Diário das Notas Fiscais de Venda a Consumidor (código 02)","2","V"
"C","C310","Documentos Cancelados de Nota Fiscal de Venda a Consumidor (código 02)","3","1:N"
"C","C320","Registro Analítico das Notas Fiscais de Venda a Consumidor (código 02)","3","1:N"
"C","C321","Itens dos Resumos Diários dos Documentos (código 02)","4","1:N"
"C","C330","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","5","1:1"
"C","C350","Nota Fiscal de venda a consumidor (código 02)","2","V"
"C","C370","Itens do documento (código 02)","3","1:N"
"C","C380","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","4","1:1"
"C","C390","Registro Analítico das Notas Fiscais de Venda a Consumidor (código 02)","3","1:N"
"C","C400","Equipamento ECF (código 02, 2D e 60)","2","V"
"C","C405","Redução Z (código 02, 2D e 60)","3","1:N"
"C","C410","PIS e COFINS Totalizados no Dia (código 02 e 2D)","4","1:1"
"C","C420","Registro dos Totalizadores Parciais da Redução Z (código 02, 2D e 60)","4","1:N"
"C","C425","Resumo de itens do movimento diário (código 02 e 2D)","5","1:N"
"C","C430","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","6","1:1"
"C","C460","Documento Fiscal Emitido por ECF (código 02, 2D e 60)","4","1:N"
"C","C465","Complemento do Cupom Fiscal Eletrônico Emitido por ECF - CF-e-ECF (código 60)","5","1:1"
"C","C470","Itens do Documento Fiscal Emitido por ECF (código 02 e 2D)","5","1:N"
"C","C480","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02)","6","1:1"
"C","C490","Registro Analítico do movimento diário (código 02, 2D e 60)","4","1:N"
"C","C495","Resumo Mensal de Itens do ECF por Estabelecimento (código 02 e 2D e 2E)","2","V"
"C","C500","Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal de Energia Elétrica Eletrônica (código 66) , Nota Fiscal/Conta de fornecimento dágua canalizada (código 29) e Nota Fiscal/Consumo Fornecimento de Gás (Código 28)","2","V"
"C","C510","Itens do Documento - Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal/Conta de fornecimento d'água canalizada (código 29) e Nota Fiscal/Conta Fornecimento de Gás (Código 28)","3","1:N"
"C","C590","Registro Analítico do Documento - Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal de Energia Elétrica Eletrônica (código 66), Nota Fiscal/Conta de fornecimento d'água canalizada (código 29) e Nota Fiscal/Conta Fornecimento de Gás (Código 28)","3","1:N"
"C","C591","Informações do Fundo de Combate à Pobreza – FCP na NF3e (código 66)","4","1:1"
"C","C595","Observações do Lançamento Fiscal (códigos 06, 28, 29 e 66)","3","1:N"
"C","C597","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal.","4","1:N"
"C","C600","Consolidação Diária de Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28) - (Empresas não obrigadas ao Convênio ICMS 115/03)","2","V"
"C","C601","Documentos cancelados - Consolidação diária de notas fiscais/conta de energia elétrica (Código 06), nota fiscal/conta de fornecimento de água (código 29) e nota fiscal/conta de fornecimento de gás (código 28)","3","1:N"
"C","C610","Itens do Documento Consolidado - Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28) - (Empresas não obrigadas ao Convênio ICMS 115/03)","3","1:N"
"C","C690","Registro Analítico dos Documentos - Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28)","3","1:N"
"C","C700","Consolidação dos Documentos Nota Fiscal/Conta Energia Elétrica (código 06) emitidas em via única - (Empresas obrigadas à entrega do arquivo previsto no Convênio ICMS 115/03) e Nota Fiscal/Conta de Fornecimento de Gás Canalizado (Código 28)","2","V"
"C","C790","Registro Analítico dos Documentos - Nota Fiscal/Conta Energia Elétrica (código 06) emitidas em via única","3","1:N"
"C","C791","Registro de Informações de ICMS ST por UF","4","1:N"
"C","C800","Registro Cupom Fiscal Eletrônico - CF-e (Código 59)","2","V"
"C","C810","Itens do documento do cupom fiscal eletrônico – SAT (CF-E-SAT) (código 59)","3","1:N"
"C","C815","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59)","4","1:1"
"C","C850","Registro Analítico do CF-e (Código 59)","3","1:N"
"C","C860","Identificação do equipamento SAT-CF-e (Código 59)","2","V"
"C","C870","Itens do documento do cupom fiscal eletrônico – SAT (CF-E-SAT) (código 59)","3","1:N"
"C","C880","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59)","4","1:1"
"C","C890","Resumo diário de CF-e (Código 59) por equipamento SAT-CF-e","3","1:N"
"C","C990","Encerramento do Bloco C","1","1"
"D","D001","Abertura do Bloco D","1","1"
"D","D100","Nota Fiscal de Serviço de Transporte (código 07), Conhecimentos de Transporte Rodoviário De Cargas (código 08), Conhecimentos de Transporte de Cargas Avulso (código 8b), Aquaviário de Cargas (código 09), Aéreo (código 10), Ferroviário de Cargas (código 11), Multimodal de Cargas (código 26), Nota Fiscal de Transporte Ferroviário de Carga (código 27), Conhecimento de Transporte Eletrônico – CT-e (código 57), Conhecimento de Transporte Eletrônico para Outros Serviços - CT-e OS (código 67) e Bilhete de Passagem Eletrônico (código 63)","2","V"
"D","D101","Informação complementar dos documentos fiscais quando das prestações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (código 57 e 67)","3","1:1"
"D","D110","Itens do documento - Nota Fiscal de Serviços de Transporte (código 07)","3","1:N"
"D","D120","Complemento da Nota Fiscal de Serviços de Transporte (código 07)","4","1:N"
"D","D130","Complemento do Conhecimento Rodoviário de Cargas (código 08) e Conhecimento de Transporte de Cargas Avulso (Código 8B)","3","1:N"
"D","D140","Complemento do Conhecimento Aquaviário de Cargas (código 09)","3","1:1"
"D","D150","Complemento do Conhecimento Aéreo de Cargas (código 10)","3","1:1"
"D","D160","Carga Transportada (CÓDIGO 08, 8B, 09, 10, 11, 26 E 27)","3","1:N"
"D","D161","Local de Coleta e Entrega (códigos 08, 8B, 09, 10, 11 e 26)","4","1:1"
"D","D162","Identificação dos documentos fiscais (código 08,8B, 09,10,11,26 e 27)","4","1:N"
"D","D170","Complemento do Conhecimento Multimodal de Cargas (código 26)","3","1:1"
"D","D180","Modais (código 26)","3","1:N"
"D","D190","Registro Analítico dos Documentos (CÓDIGO 07, 08, 8B, 09, 10, 11, 26, 27, 57 e 67)","3","1:N"
"D","D195","Observações do lançamento (CÓDIGO 07, 08, 8B, 09, 10, 11, 26, 27, 57 e 67)","3","1:N"
"D","D197","Outras obrigações tributárias, ajustes e informações de valores provenientes do","4","1:N"
"D","D300","Registro Analítico dos bilhetes consolidados de Passagem Rodoviário (código 13), de Passagem Aquaviário (código 14), de Passagem e Nota de Bagagem (código 15) e de Passagem Ferroviário (código 16)","2","V"
"D","D301","Documentos cancelados dos Bilhetes de Passagem Rodoviário (código 13), de Passagem Aquaviário (código 14), de Passagem e Nota de Bagagem (código 15) e de Passagem Ferroviário (código 16)","3","1:N"
"D","D310","Complemento dos Bilhetes (código 13, código 14, código 15 e código 16)","3","1:N"
"D","D350","Equipamento ECF (Códigos 2E, 13, 14, 15 e 16)","2","V"
"D","D355","Redução Z (Códigos 2E, 13, 14, 15 e 16)","3","1:N"
"D","D360","PIS E COFINS totalizados no dia (Códigos 2E, 13, 14, 15 e 16)","4","1:1"
"D","D365","Registro dos Totalizadores Parciais da Redução Z (Códigos 2E, 13, 14, 15 e 16)","4","1:N"
"D","D370","Complemento dos documentos informados (Códigos 13, 14, 15, 16 E 2E)","5","1:N"
"D","D390","Registro analítico do movimento diário (Códigos 13, 14, 15, 16 E 2E)","4","1:N"
"D","D400","Resumo do Movimento Diário (código 18)","2","V"
"D","D410","Documentos Informados (Códigos 13, 14, 15 e 16)","3","1:N"
"D","D411","Documentos Cancelados dos Documentos Informados (Códigos 13, 14, 15 e 16)","4","1:N"
"D","D420","Complemento dos Documentos Informados (Códigos 13, 14, 15 e 16)","3","1:N"
"D","D500","Nota Fiscal de Serviço de Comunicação (código 21) e Serviço de Telecomunicação (código 22)","2","V"
"D","D510","Itens do Documento - Nota Fiscal de Serviço de Comunicação (código 21) e Serviço de Telecomunicação (código 22)","3","1:N"
"D","D530","Terminal Faturado","3","1:N"
"D","D590","Registro Analítico do Documento (códigos 21 e 22)","3","1:N"
"D","D600","Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação (código 21) e de Serviço de Telecomunicação (código 22)","2","V"
"D","D610","Itens do Documento Consolidado (códigos 21 e 22)","3","1:N"
"D","D690","Registro Analítico dos Documentos (códigos 21 e 22)","3","1:N"
"D","D695","Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação (código 21) e de Serviço de Telecomunicação (código 22)","2","V"
"D","D696","Registro Analítico dos Documentos (códigos 21 e 22)","3","1:N"
"D","D697","Registro de informações de outras UFs, relativamente aos serviços “não- medidos” de televisão por assinatura via satélite","4","1:N"
"D","D990","Encerramento do Bloco D","1","1"
"E","E001","Abertura do Bloco E","1","1"
"E","E100","Período de Apuração do ICMS","2","V"
"E","E110","Apuração do ICMS - Operações Próprias","3","1:1"
"E","E111","Ajuste/Benefício/Incentivo da Apuração do ICMS","4","1:N"
"E","E112","Informações Adicionais dos Ajustes da Apuração do ICMS","5","1:N"
"E","E113","Informações Adicionais dos Ajustes da Apuração do ICMS - Identificação dos documentos fiscais","5","1:N"
"E","E115","Informações Adicionais da Apuração do ICMS - Valores Declaratórios","4","1:N"
"E","E116","Obrigações do ICMS Recolhido ou a Recolher - Obrigações Próprias","4","1:N"
"E","E200","Período de Apuração do ICMS - Substituição Tributária","2","V"
"E","E210","Apuração do ICMS - Substituição Tributária","3","1:1"
"E","E220","Ajuste/Benefício/Incentivo da Apuração do ICMS - Substituição Tributária","4","1:N"
"E","E230","Informações Adicionais dos Ajustes da Apuração do ICMS Substituição Tributária","5","1:N"
"E","E240","Informações Adicionais dos Ajustes da Apuração do ICMS Substituição Tributária - Identificação dos documentos fiscais","5","1:N"
"E","E250","Obrigações do ICMS a Recolher - Substituição Tributária","4","1:N"
"E","E300","Período de Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","2","1:N"
"E","E310","Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","3","1:1"
"E","E311","Ajuste/Benefício/Incentivo da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","4","1:N"
"E","E312","Informações Adicionais dos Ajustes da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","5","1:N"
"E","E313","Informações Adicionais da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15 Identificação dos Documentos Fiscais","5","1:N"
"E","E316","Obrigações do ICMS recolhido ou a recolher – Diferencial de Alíquota – UF Origem/Destino EC 87/15","4","1:N"
"E","E500","Período de Apuração do IPI","2","V"
"E","E510","Consolidação dos Valores de IPI","3","1:N"
"E","E520","Apuração do IPI","3","1:1"
"E","E530","Ajustes da Apuração do IPI","4","1:N"
"E","E531","Informações Adicionais dos Ajustes da Apuração do IPI – Identificação dos Documentos Fiscais (01 e 55)","5","1:N"
"E","E990","Encerramento do Bloco E","1","1"
"G","G001","Abertura do Bloco G","1","1"
"G","G110","ICMS – Ativo Permanente – CIAP","2","V"
"G","G125","Movimentação de Bem do Ativo Imobilizado","3","1:N"
"G","G126","Outros créditos CIAP","4","1:N"
"G","G130","Identificação do documento fiscal","4","1:N"
"G","G140","Identificação do item do documento fiscal","5","1:N"
"G","G990","Encerramento do Bloco G","1","1"
"H","H001","Abertura do Bloco H","1","1"
"H","H005","Totais do Inventário","2","V"
"H","H010","Inventário","3","1:N"
"H","H020","Informação complementar do Inventário","4","1.N"
"H","H030","Informações complementares do inventário das mercadorias sujeitas ao regime de substituição tributária","4","1:1"
"H","H990","Encerramento do Bloco H","1","1"
"K","K100","Período de Apuração do ICMS/IPI","2","V"
"K","K200","Estoque Escriturado","3","1:N"
"K","K210","Desmontagem de mercadorias – Item de Origem","3","1:N"
"K","K215","Desmontagem de mercadorias – Item de Destino","4","1:N"
"K","K220","Outras Movimentações Internas entre Mercadorias","3","1:N"
"K","K230","Itens Produzidos","3","1:N"
"K","K235","Insumos Consumidos","4","1:N"
"K","K250","Industrialização Efetuada por Terceiros – Itens Produzidos","3","1:N"
"K","K255","Industrialização em Terceiros – Insumos Consumidos","4","1:N"
"K","K260","Reprocessamento/Reparo de Produto/Insumo","3","1:N"
"K","K265","Reprocessamento/Reparo – Mercadorias Consumidas e/ou Retornadas","4","1:N"
"K","K270","Correção de Apontamento dos Registros K210, K220, K230, K250 e K260","3","1:N"
"K","K275","Correção de Apontamento e Retorno de Insumos dos Registros K215, K220, K235, K255 e K265","4","1:N"
"K","K280","Correção de Apontamento – Estoque Escriturado","3","1:N"
"K","K290","Produção Conjunta – Ordem de Produção","3","1:N"
"K","K291","Produção Conjunta – Itens Produzidos","4","1:N"
"K","K292","Produção Conjunta – Insumos Consumidos","4","1:N"
"K","K300","Produção Conjunta – Industrialização Efetuada por Terceiros","3","1:N"
"K","K301","Produção Conjunta – Industrialização Efetuada por Terceiros – Itens Produzidos","4","1:N"
"K","K302","Produção Conjunta – Industrialização Efetuada por Terceiros – Insumos Consumidos","4","1:N"
"K","K990","Encerramento do Bloco K","1","1"
"1","1001","Abertura do Bloco 1","1","1"
"1","1010","Obrigatoriedade de registros do Bloco 1","2","1"
"1","1100","Registro de Informações sobre Exportação","2","V"
"1","1105","Documentos Fiscais de Exportação","3","1:N"
"1","1110","Operações de Exportação Indireta - Mercadorias de terceiros","4","1:N"
"1","1200","Controle de Créditos Fiscais - ICMS","2","V"
"1","1210","Utilização de Créditos Fiscais - ICMS","3","1:N"
"1","1250","Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS","2","1:1"
"1","1255","Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS por motivo","3","1:N"
"1","1300","Movimentação diária de combustíveis","2","V"
"1","1310","Movimentação diária de combustíveis por tanque","3","1:N"
"1","1320","Volume de vendas","4","1:N"
"1","1350","Bombas","2","V"
"1","1360","Lacres das bombas","3","1:N"
"1","1370","Bicos da bomba","3","1:N"
"1","1390","Controle de produção de Usina","2","V"
"1","1391","Produção diária da usina","3","1:N"
"1","1400","Informação sobre Valor Agregado","2","V"
"1","1500","Nota fiscal/Conta de energia elétrica (código 06) - Operações Interestaduais","2","V"
"1","1510","Itens do documento Nota fiscal/Conta de energia elétrica (código 06)","3","1:N"
"1","1600","Total das operações com cartão de crédito e/ou débito","2","V"
"1","1700","Documentos fiscais utilizados","2","V"
"1","1710","Documentos fiscais cancelados/inutilizados","3","1:N"
"1","1800","DCTA - Demonstrativo de crédito do ICMS sobre transporte aéreo","2","1"
"1","1900","Indicador de sub-apuração do ICMS","2","V"
"1","1910","Período da sub-apuração do ICMS","3","1:N"
"1","1920","Sub-apuração do ICMS","4","1:1"
"1","1921","Ajuste/benefício/incentivo da sub-apuração do ICMS","5","1:N"
