"register","index","code","desc","spec_type","length","spec_required","type","required","conditional_required","decimal","spec_in","spec_out","conditional_out_required","conditional_in_required"
"G110","5","SOM_PARC","Somatório das parcelas de ICMS passível de apropriação de cada bem (campo 10 do G125)","N","","O","float","True","","02","","","",""
"G110","6","VL_TRIB_EXP","Valor do somatório das saídas tributadas e saídas para exportação","N","","O","float","True","","02","","","",""
"G110","7","VL_TOTAL","Valor total de saídas","N","","O","float","True","","02","","","",""
"G110","8","IND_PER_SAI","Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)","N","","O","float","True","","08","","","",""
"G110","9","ICMS_APROP","Valor de ICMS a ser apropriado na apuração do ICMS, correspondente à multiplicação do campo 05 pelo campo 08.","N","","O","float","True","","02","","","",""
"G110","10","SOM_ICMS_OC","Valor de outros créditos a ser apropriado na Apuração do ICMS, correspondente ao somatório do campo 09 do registro G126.","N","","O","float","True","","02","","","",""
"G125","2","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","O","char","True","","","","","",""
"G125","3","DT_MOV","Data da movimentação ou do saldo inicial","N","008*","O","date","True","","","","","",""
"G125","4","TIPO_MOV","Tipo de movimentação do bem ou componente: SI = Saldo inicial de bens imobilizados; IM = Imobilização de bem individual; IA = Imobilização em Andamento - Componente; CI = Conclusão de Imobilização em Andamento – Bem Resultante; MC = Imobilização oriunda do Ativo Circulante; BA = Baixa do bem - Fim do período de apropriação; AT = Alienação ou Transferência;","C","002*","O","char","True","","","","","",""
"G125","5","VL_IMOB_ICMS_OP","Valor do ICMS da Operação Própria na entrada do bem ou componente","N","","OC","float","","True","02","","","",""
"G125","6","VL_IMOB_ICMS_ST","Valor do ICMS da Oper. por Sub. Tributária na entrada do bem ou componente","N","","OC","float","","True","02","","","",""
"G125","7","VL_IMOB_ICMS_FRT","Valor do ICMS sobre Frete do Conhecimento de Transporte na entrada do bem ou componente","N","","OC","float","","True","02","","","",""
"G125","8","VL_IMOB_ICMS_DIF","Valor do ICMS - Diferencial de Alíquota, conforme Doc. de Arrecadação, na entrada do bem ou componente","N","","OC","float","","True","02","","","",""
"G125","9","NUM_PARC","Número da parcela do ICMS","N","003","OC","int","","True","","","","",""
"G125","10","VL_PARC_PASS","Valor da parcela de ICMS passível de apropriação (antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais)","N","","OC","float","","True","02","","","",""
"G126","2","DT_INI","Data inicial do período de apuração","N","008*","O","date","True","","","","","",""
"G126","3","DT_FIM","Data final do período de apuração","N","008*","O","date","True","","","","","",""
"G126","4","NUM_PARC","Número da parcela do ICMS","N","003","O","int","True","","","","","",""
"G126","5","VL_PARC_PASS","Valor da parcela de ICMS passível de apropriação - antes da aplicação da participação percentual do valor das saídas tributadas/exportação sobre as saídas totais","N","","O","float","True","","02","","","",""
"G126","6","VL_TRIB_OC","Valor do somatório das saídas tributadas e saídas para exportação no período indicado neste registro","N","","O","float","True","","02","","","",""
"G126","7","VL_TOTAL","Valor total de saídas no período indicado neste registro","N","","O","float","True","","02","","","",""
"G126","8","IND_PER_SAI","Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)","N","","O","float","True","","08","","","",""
"G126","9","VL_PARC_APROP","Valor de outros créditos de ICMS a ser apropriado na apuração (campo 05 vezes o campo 08)","N","","O","float","True","","02","","","",""
"G130","2","IND_EMIT","Indicador do emitente do documento fiscal: 0- Emissão própria; 1- Terceiros","C","001*","O","char","True","","","","","",""
"G130","3","COD_PART","Código do participante : - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","O","char","True","","","","","",""
"G130","4","COD_MOD","Código do modelo de documento fiscal, conforme tabela 4.1.1","C","002*","O","char","True","","","","","",""
"G130","5","SERIE","Série do documento fiscal","C","003","OC","char","","True","","","","",""
"G130","6","NUM_DOC","Número de documento fiscal","N","009","O","int","True","","","","","",""
"G140","2","NUM_ITEM","Número sequencial do item no documento fiscal","N","003","O","int","True","","","","","",""
"G140","3","COD_ITEM","Código correspondente do bem no documento fiscal (campo 02 do registro 0200)","C","060","O","char","True","","","","","",""
"G140","4","QTDE","Quantidade, deste item da nota fiscal, que foi aplicada neste bem, expressa na mesma unidade constante no documento fiscal de entrada","N","","O","float","True","","05","","","",""
"G140","5","UNID","Unidade do item constante no documento fiscal de entrada","C","6","O","char","True","","","","","",""
"G140","6","VL_ICMS_OP_APLICADO","Valor do ICMS da Operação Própria na entrada do item, proporcional à quantidade aplicada no bem ou componente.","N","","O","float","True","","02","","","",""
"G140","7","VL_ICMS_ST_APLICADO","Valor do ICMS ST na entrada do item, proporcional à quantidade aplicada no bem ou componente.","N","","O","float","True","","02","","","",""
"G990","2","QTD_LIN_G","Quantidade total de linhas do Bloco G","N","","O","int","True","","","","","",""
"1900","2","IND_APUR_ICMS","Indicador de outra apuração do ICMS: 3 – APURAÇÃO 1; 4 – APURAÇÃO 2; 5 – APURAÇÃO 3; 6 – APURAÇÃO 4; 7 – APURAÇÃO 5; 8 – APURAÇÃO 6.","C","001*","O","char","True","","","","","",""
"1900","3","DESCR_COMPL_OUT_APUR","Descrição complementar de Outra Apuração do ICMS","C","","O","char","True","","","","","",""
"1910","2","DT_INI","Data inicial da sub-apuração","N","008*","O","date","True","","","","","",""
"1910","3","DT_FIN","Data final da sub-apuração","N","008*","O","date","True","","","","","",""
"1920","2","VL_TOT_TRANSF_DEBITOS_OA","Valor total dos débitos por “Saídas e prestações com débito do imposto”","N","","O","float","True","","02","","","",""
"1920","3","VL_TOT_AJ_DEBITOS_OA","Valor total de “Ajustes a débito”","N","","O","float","True","","02","","","",""
"1920","4","VL_ESTORNOS_CRED_OA","Valor total de Ajustes “Estornos de créditos”","N","","O","float","True","","02","","","",""
"1920","5","VL_TOT_TRANSF_CREDITOS_OA","Valor total dos créditos por “Entradas e aquisições com crédito do imposto”","N","","O","float","True","","02","","","",""
"1920","6","VL_TOT_AJ_CREDITOS_OA","Valor total de “Ajustes a crédito”","N","","O","float","True","","02","","","",""
"1920","7","VL_ESTORNOS_DEB_OA","Valor total de Ajustes “Estornos de Débitos”","N","","O","float","True","","02","","","",""
"1920","8","VL_SLD_CREDOR_ANT_OA","Valor total de “Saldo credor do período","N","","O","float","True","","02","","","",""
"1920","9","VL_SLD_APURADO_OA","Valor do saldo devedor apurado","N","","O","float","True","","02","","","",""
"1920","10","VL_TOT_DED","Valor total de “Deduções”","N","","O","float","True","","02","","","",""
"1920","11","VL_ICMS_RECOLHER_OA","Valor total de ""ICMS a recolher (09-10)","N","","O","float","True","","02","","","",""
"1920","12","VL_SLD_CREDOR_TRANSP_OA","Valor total de “Saldo credor a transportar para o período seguinte”","N","","O","float","True","","02","","","",""
"1920","13","DEB_ESP_OA","Valores recolhidos ou a recolher, extra- apuração.","N","","O","float","True","","02","","","",""
"1921","2","COD_AJ_APUR","Código do ajuste da SUB-APURAÇÃO e dedução, conforme a Tabela indicada no item 5.1.1.","C","008*","O","char","True","","","","","",""
"1921","3","DESCR_COMPL_AJ","Descrição complementar do ajuste da apuração.","C","","OC","char","","True","","","","",""
"1921","4","VL_AJ_APUR","Valor do ajuste da apuração","N","","O","float","True","","02","","","",""
"1922","2","NUM_DA","Número do documento de arrecadação estadual, se houver","C","","OC","char","","True","","","","",""
"1922","3","NUM_PROC","Número do processo ao qual o ajuste está vinculado, se houver","C","015","OC","char","","True","","","","",""
"1922","4","IND_PROC","Indicador da origem do processo: 0- SEFAZ; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros","C","001*","OC","char","","True","","","","",""
"1922","5","PROC","Descrição resumida do processo que embasou o lançamento","C","","OC","char","","True","","","","",""
"1922","6","TXT_COMPL","Descrição complementar","C","","OC","char","","True","","","","",""
"1923","2","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","O","char","True","","","","","",""
"1923","3","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","O","char","True","","","","","",""
"1923","4","SER","Série do documento fiscal","C","004","OC","char","","True","","","","",""
"1923","5","SUB","Subsérie do documento fiscal","N","003","OC","int","","True","","","","",""
"1923","6","NUM_DOC","Número do documento fiscal","N","009","O","int","True","","","","","",""
"1923","7","DT_DOC","Data da emissão do documento fiscal","N","008*","O","date","True","","","","","",""
"1923","8","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","OC","char","","True","","","","",""
"1923","9","VL_AJ_ITEM","Valor do ajuste para a operação/item","N","","O","float","True","","02","","","",""
"1925","2","COD_INF_ADIC","Código da informação adicional conforme tabela a ser definida pelas SEFAZ, conforme tabela definida no item 5.2.","C","008*","O","char","True","","","","","",""
"1925","3","VL_INF_ADIC","Valor referente à informação adicional","N","","O","float","True","","02","","","",""
"1925","4","DESCR_COMPL_AJ","Descrição complementar do ajuste","C","","OC","char","","True","","","","",""
"1926","2","COD_OR","Código da obrigação a recolher, conforme a Tabela 5.4","C","003*","O","char","True","","","","","",""
"1926","3","VL_OR","Valor da obrigação a recolher","N","","O","float","True","","02","","","",""
"1926","4","DT_VCTO","Data de vencimento da obrigação","N","008*","O","date","True","","","","","",""
"1926","5","COD_REC","Código de receita referente à obrigação, próprio da unidade da federação, conforme legislação estadual,","C","","O","char","True","","","","","",""
"1926","6","NUM_PROC","Número do processo ou auto de infração ao qual a obrigação está vinculada, se houver.","C","015","OC","char","","True","","","","",""
"1926","7","IND_PROC","Indicador da origem do processo: 0- SEFAZ; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros","C","001*","OC","char","","True","","","","",""
"1926","8","PROC","Descrição resumida do processo que embasou o lançamento","C","","OC","char","","True","","","","",""
"1926","9","TXT_COMPL","Descrição complementar das obrigações a recolher.","C","","OC","char","","True","","","","",""
"1926","10","MES_REF*","Informe o mês de referência no formato “mmaaaa”","N","006*","O","int","True","","","","","",""
"1900","2","IND_APUR_ICMS","Indicador de outra apuração do ICMS: 3 – APURAÇÃO 1; 4 – APURAÇÃO 2; 5 – APURAÇÃO 3; 6 – APURAÇÃO 4; 7 – APURAÇÃO 5; 8 – APURAÇÃO 6.","C","001*","O","char","True","","","","","",""
"1900","3","DESCR_COMPL_OUT_APUR","Descrição complementar de Outra Apuração do ICMS","C","","O","char","True","","","","","",""
"0210","2","COD_ITEM_COMP","Código do item componente/insumo (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"0210","3","QTD_COMP","Quantidade do item componente/insumo para se produzir uma unidade do item composto/resultante","N","","O","float","True","","6","","","",""
"0210","4","PERDA","Perda/quebra normal percentual do insumo/componente para se produzir uma unidade do item composto/resultante","N","","O","float","True","","4","","","",""
"K001","2","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001*","O","char","True","","","","","",""
"K100","2","DT_INI","Data inicial a que a apuração se refere","N","8","O","date","True","","","","","",""
"K100","3","DT_FIN","Data final a que a apuração se refere","N","8","O","date","True","","","","","",""
"K200","2","DT_EST","Data do estoque final","N","8","O","date","True","","","","","",""
"K200","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K200","4","QTD","Quantidade em estoque","N","","O","float","True","","3","","","",""
"K200","5","IND_EST","Indicador do tipo de estoque: 0 - Estoque de propriedade do informante e em seu poder; 1 - Estoque de propriedade do informante e em posse de terceiros; 2 - Estoque de propriedade de terceiros e em posse do informante","C","1","O","char","True","","","","","",""
"K200","6","COD_PART","Código do participante (campo 02 do Registro 0150): - proprietário/possuidor que não seja o informante do arquivo","C","60","OC","char","","True","","","","",""
"K220","2","DT_MOV","Data da movimentação interna","N","8","O","date","True","","","","","",""
"K220","3","COD_ITEM_ORI","Código do item de origem (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K220","4","COD_ITEM_DEST","Código do item de destino (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K220","5","QTD_ORI","Quantidade movimentada do item de origem","N","","O","float","True","","6","","","",""
"K220","6","QTD_DEST","Quantidade movimentada do item de destino","N","","O","float","True","","6","","","",""
"K230","2","DT_INI_OP","Data de início da ordem de produção","N","8","OC","date","","True","","","","",""
"K230","3","DT_FIN_OP","Data de conclusão da ordem de produção","N","8","OC","date","","True","","","","",""
"K230","4","COD_DOC_OP","Código de identificação da ordem de produção","C","30","OC","char","","True","","","","",""
"K230","5","COD_ITEM","Código do item produzido (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K230","6","QTD_ENC","Quantidade de produção acabada","N","","O","float","True","","6","","","",""
"K235","2","DT_SAÍDA","Data de saída do estoque para alocação ao produto","N","8","O","date","True","","","","","",""
"K235","3","COD_ITEM","Código do item componente/insumo (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K235","4","QTD","Quantidade consumida do item","N","","O","float","True","","6","","","",""
"K235","5","COD_INS_SUBST","Código do insumo que foi substituído, caso ocorra a substituição (campo 02 do Registro 0210)","C","60","OC","char","","True","","","","",""
"K250","2","DT_PROD","Data do reconhecimento da produção ocorrida no terceiro","N","8","O","date","True","","","","","",""
"K250","3","COD_ITEM","Código do item produzido (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K250","4","QTD","Quantidade produzida","N","","O","float","True","","6","","","",""
"K255","2","DT_CONS","Data do reconhecimento do consumo do insumo referente ao produto informado no campo 04 do Registro K250","N","8","O","date","True","","","","","",""
"K255","3","COD_ITEM","Código do insumo (campo 02 do Registro 0200)","C","60","O","char","True","","","","","",""
"K255","4","QTD","Quantidade de consumo do insumo.","N","","O","float","True","","6","","","",""
"K255","5","COD_INS_SUBST","Código do insumo que foi substituído, caso ocorra a substituição (campo 02 do Registro 0210)","C","60","OC","char","","True","","","","",""
"K990","2","QTD_LIN_K","Quantidade total de linhas do Bloco K","N","","O","int","True","","","","","",""
"C101","2","VL_FCP_UF_DEST","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino","N","","","float","","","02","O","O","",""
"C101","3","VL_ICMS_UF_DEST","Valor total do ICMS Interestadual para a UF de destino","N","","","float","","","02","O","O","",""
"C101","4","VL_ICMS_UF_REM","Valor total do ICMS Interestadual para a UF do remetente","N","","","float","","","02","O","O","",""
"D101","2","VL_FCP_UF_DEST","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino","N","","","float","","","02","O","O","",""
"D101","3","VL_ICMS_UF_DEST","Valor total do ICMS Interestadual para a UF de destino","N","","","float","","","02","O","O","",""
"D101","4","VL_ICMS_UF_REM","Valor total do ICMS Interestadual para a UF do remetente","N","","","float","","","02","O","O","",""
"E300","2","UF","Sigla da unidade da federação a que se refere à apuração do FCP e do ICMS Diferencial de Alíquota da UF de Origem/Destino","C","002","O","char","True","","","","","",""
"E300","3","DT_INI","Data inicial a que a apuração se refere","N","008*","O","date","True","","","","","",""
"E300","4","DT_FIN","Data final a que a apuração se refere","N","008*","O","date","True","","","","","",""
"E310","2","IND_MOV_DIFAL","Indicador de movimento: 0 – Sem operações com ICMS Diferencial de Alíquota da UF de Origem/Destino 1 – Com operações de ICMS Diferencial de Alíquota da UF de Origem/Destino","C","","O","char","True","","","","","",""
"E310","3","VL_SLD_CRED_ANT_DIFAL","Valor do ""Saldo credor de período anterior – ICMS Diferencial de Alíquota da UF de Origem/Destino""","N","","O","float","True","","02","","","",""
"E310","4","VL_TOT_DEBITOS_DIFAL","Valor total dos débitos por ""Saídas e prestações com débito do ICMS referente ao diferencial de alíquota devido à UF do Remetente/Destinatário""","N","","O","float","True","","02","","","",""
"E310","5","VL_OUT_DEB_DIFAL","Valor Total dos ajustes ""Outros débitos ICMS Diferencial de Alíquota da UF de Origem/Destino"" "" e “Estorno de créditos ICMS Diferencial de Alíquota da UF de Origem/Destino","N","","O","float","True","","02","","","",""
"E310","6","VL_TOT_DEB_FCP","Valor total dos débitos FCP por ""Saídas e prestações”","N","","O","float","True","","02","","","",""
"E310","7","VL_TOT_CREDITOS_DIFAL","Valor total dos créditos do ICMS referente ao diferencial de alíquota devido à UF dos Remetente/ Destinatário","N","","O","float","True","","02","","","",""
"E310","8","VL_TOT_CRED_FCP","Valor total dos créditos FCP por Entradas","N","","O","float","True","","02","","","",""
"E310","9","VL_OUT_CRED_DIFAL","Valor total de Ajustes ""Outros créditos ICMS","N","","O","float","True","","02","","","",""
"E310","10","VL_SLD_DEV_ANT_DIFAL","Valor total de Saldo devedor ICMS Diferencial de Alíquota da UF de Origem/Destino antes das deduções","N","","O","float","True","","02","","","",""
"E310","11","VL_DEDUÇÕES_DIFAL","Valor total dos ajustes ""Deduções ICMS Diferencial de Alíquota da UF de Origem/Destino""","N","","O","float","True","","02","","","",""
"E310","12","VL_RECOL","Valor recolhido ou a recolher referente a FCP e Imposto do Diferencial de Alíquota da UF de Origem/Destino (10-11)","N","","O","float","True","","02","","","",""
"E310","13","VL_SLD_CRED_TRANSPORTAR","Saldo credor a transportar para o período seguinte referente a FCP e Imposto do Diferencial de Alíquota da UF de Origem/Destino","N","","O","float","True","","02","","","",""
"E310","14","DEB_ESP_DIFAL","Valores recolhidos ou a recolher, extra-apuração.","N","","O","float","True","","02","","","",""
"E310","15","VL_OUT_DEB_FCP","Valor total dos ajustes ""Outros débitos FCP"" e “Estorno de créditos FCP”","N","","O","float","True","","02","","","",""
"E310","16","VL_TOT_CRED_FCP","Valor total dos créditos FCP por Entradas","N","","O","float","True","","02","","","",""
"E310","17","VL_OUT_CRED_FCP","Valor total de Ajustes ""Outros créditos FCP"" e “Estorno de débitos FCP”","N","","O","float","True","","02","","","",""
"E310","18","VL_SLD_DEV_ANT_FCP","Valor total de Saldo devedor FCP antes das deduções","N","","O","float","True","","02","","","",""
"E310","19","VL_DEDUÇÕES_FCP","Valor total das deduções ""FCP""","N","","O","float","True","","02","","","",""
"E310","20","VL_RECOL_FCP","Valor recolhido ou a recolher referente ao FCP (18– 19)","N","","O","float","True","","02","","","",""
"E310","21","AR_FCP","Saldo credor a transportar para o período seguinte referente ao FCP","N","","O","float","True","","02","","","",""
"E310","22","DEB_ESP_FCP","Valores recolhidos ou a recolher, extra-apuração - FCP.","N","","O","float","True","","02","","","",""
"E311","2","COD_AJ_APUR","Código do ajuste da apuração e dedução, conforme a Tabela indicada no item 5.1.1","C","008*","O","char","True","","","","","",""
"E311","3","DESCR_COMPL_AJ","Descrição complementar do ajuste da apuração","C","","OC","char","","True","","","","",""
"E311","4","VL_AJ_APUR","Valor do ajuste da apuração","N","","O","float","True","","02","","","",""
"E312","2","NUM_DA","Número do documento de arrecadação estadual, se houver","C","","OC","char","","True","","","","",""
"E312","3","NUM_PROC","Número do processo ao qual o ajuste está vinculado, se houver","C","015","OC","char","","True","","","","",""
"E312","4","IND_PROC","Indicador da origem do processo: 0- Sefaz; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros","N","001*","OC","int","","True","","","","",""
"E312","5","PROC","Descrição resumida do processo que embasou o lançamento","C","","OC","char","","True","","","","",""
"E312","6","TXT_COMPL","Descrição complementar","C","","OC","char","","True","","","","",""
"E313","2","COD_PART","Código do participante (campo 02 do Registro 0150)","C","060","O","char","True","","","","","",""
"E313","3","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","O","char","True","","","","","",""
"E313","4","SER","Série do documento fiscal","C","004","OC","char","","True","","","","",""
"E313","5","SUB","Subsérie do documento fiscal","N","003","OC","int","","True","","","","",""
"E313","6","NUM_DOC","Número do documento fiscal","N","009","O","int","True","","","","","",""
"E316","2","COD_OR","Código da obrigação recolhida ou a recolher, conforme a Tabela 5.4","C","003*","O","char","True","","","","","",""
"E316","3","VL_OR","Valor da obrigação recolhida ou a recolher","N","","O","float","True","","02","","","",""
"E316","4","DT_VCTO","Data de vencimento da obrigação","N","008*","O","date","True","","","","","",""
"E316","5","COD_REC","Código de receita referente à obrigação, próprio da unidade da federação da origem/destino, conforme legislação estadual.","C","","O","char","True","","","","","",""
"E316","6","NUM_PROC","Número do processo ou auto de infração ao qual a obrigação está vinculada, se houver","C","015","OC","char","","True","","","","",""
"E316","7","IND_PROC","Indicador da origem do processo: 0- SEFAZ; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros","C","001*","OC","char","","True","","","","",""
"E316","8","PROC","Descrição resumida do processo que embasou o lançamento","C","","OC","char","","True","","","","",""
"E316","9","TXT_COMPL","Descrição complementar das obrigações recolhidas ou a recolher","C","","OC","char","","True","","","","",""
"E316","10","MES_REF*","Informe o mês de referência no formato “mmaaaa”","N","006*","O","int","True","","","","","",""
"K210","2","DT_INI_OS","Data de início da ordem de serviço","N","008*","OC","date","","True","","","","",""
"K210","3","DT_FIN_OS","Data de conclusão da ordem de serviço","N","008*","OC","date","","True","","","","",""
"K210","4","COD_DOC_OS","Código de identificação da ordem de serviço","C","030","OC","char","","True","","","","",""
"K210","5","COD_ITEM_ORI","Código do item de origem (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K210","6","QTD_ORI","Quantidade de origem – saída do estoque","N","","O","float","True","","6","","","",""
"K215","2","COD_ITEM_DES","Código do item de destino (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K215","3","QTD_DES","Quantidade de destino – entrada em estoque","N","","O","float","True","","6","","","",""
"K260","2","COD_OP_OS","Código de identificação da ordem de produção, no reprocessamento, ou da ordem de serviço, no reparo","C","030","OC","char","","True","","","","",""
"K260","3","COD_ITEM","Código do produto/insumo a ser reprocessado/reparado ou já reprocessado/reparado (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K260","4","DT_SAÍDA","Data de saída do estoque","N","008*","O","date","True","","","","","",""
"K260","5","QTD_SAÍDA","Quantidade de saída do estoque","N","","O","float","True","","6","","","",""
"K260","6","DT_RET","Data de retorno ao estoque (entrada)","N","008*","OC","date","","True","","","","",""
"K260","7","QTD_RET","Quantidade de retorno ao estoque (entrada)","N","","OC","float","","True","6","","","",""
"K265","2","COD_ITEM","Código da mercadoria (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K265","3","QTD_CONS","Quantidade consumida – saída do estoque","N","","OC","float","","True","6","","","",""
"K265","4","QTD_RET","Quantidade retornada – entrada em estoque","N","","OC","float","","True","6","","","",""
"K270","2","DT_INI_AP","Data inicial do período de apuração em que ocorreu o apontamento que está sendo corrigido","N","008*","OC","date","","True","","","","",""
"K270","3","DT_FIN_AP","Data final do período de apuração em que ocorreu o apontamento que está sendo corrigido","N","008*","OC","date","","True","","","","",""
"K270","4","COD_OP_OS","Código de identificação da ordem de produção ou da ordem de serviço que está sendo corrigida","C","030","OC","char","","True","","","","",""
"K270","5","COD_ITEM","Código da mercadoria que está sendo corrigido (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K270","6","QTD_COR_POS","Quantidade de correção positiva de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","6","","","",""
"K270","7","QTD_COR_NEG","Quantidade de correção negativa de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","6","","","",""
"K270","8","ORIGEM","1 – correção de apontamento de produção e/ou consumo relativo aos Registros K230/K235; 2 – correção de apontamento de produção e/ou consumo relativo aos Registros K250/K255; 3 – correção de apontamento de desmontagem e/ou consumo relativo aos Registros K210/K215; 4 – correção de apontamento de reprocessamento/reparo e/ou consumo relativo aos Registros K260/K265; 5 – correção de apontamento de movimentação interna relativo ao Registro K220. 6 – correção de apontamento de produção relativo ao Registro K291; 7 – correção de apontamento de consumo relativo ao Registro K292; 8 – correção de apontamento de produção relativo ao Registro K301; 9 – correção de apontamento de consumo relativo ao Registro K302.","C","001","O","char","True","","","","","",""
"K275","2","COD_ITEM","Código da mercadoria (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K275","3","QTD_COR_POS","Quantidade de correção positiva de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","6","","","",""
"K275","4","QTD_COR_NEG","Quantidade de correção negativa de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","6","","","",""
"K275","5","COD_INS_SUBST","Código do insumo que foi substituído, caso ocorra a substituição, relativo aos Registros K235/K255.","C","060","OC","char","","True","","","","",""
"K280","2","DT_EST","Data do estoque final escriturado que está sendo corrigido","N","008*","O","date","True","","","","","",""
"K280","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","O","char","True","","","","","",""
"K280","4","QTD_COR_POS","Quantidade de correção positiva de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","3","","","",""
"K280","5","QTD_COR_NEG","Quantidade de correção negativa de apontamento ocorrido em período de apuração anterior","N","","OC","float","","True","3","","","",""
"K280","6","IND_EST","Indicador do tipo de estoque: 0 = Estoque de propriedade do informante e em seu poder; 1 = Estoque de propriedade do informante e em posse de terceiros; 2 = Estoque de propriedade de terceiros e em posse do informante","C","001","O","char","True","","","","","",""
