"block","code","required","level","card","spec_required","desc"
"L","L030","True","2","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [1:13] Senão [0]","Sim","Identificação dos Períodos e Formas de Apuração do IRPJ e da CSLL no Ano-Calendário"
"L","L100","True","3","Se L030.PER_APUR = “A00” OU [T01..T04] OU ([A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] for igual = “B”) [1:N] Senão [0]","Sim","Balanço Patrimonial"
"L","L200","True","3","Se COD_QUALIF_PJ = “01” E (L030.PER_APUR = “A00” OU [T01..T04]) OU ([A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] for igual = “B”) [0:13] Senão [0]","Sim","Método de Avaliação do Estoque Final"
"L","L210","True","3","Se COD_QUALIF_PJ = “01” E (L030.PER_APUR = “A00” OU [T01..T04]) OU ([A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] for igual = “B”) [0:N] Senão [0]","Sim","Informativo da Composição de Custos"
"L","L300","True","3","Se L030.PER_APUR = [A01..A012] E mês correspondente no 0010. MES_BAL_RED[1..12] for igual a “E” ou “0” [0] Senão [1:N]","Sim","Demonstração do Resultado Líquido no Período Fiscal"
"L","L990","True","1","[1;1]","Sim","Encerramento do Bloco L"
"M","M001","True","1","[1;1]","Sim","Abertura do Bloco M – Livro Eletrônico de Apuração do Lucro Real (e-Lalur) e Livro Eletrônico de Apuração da Base de Cálculo da CSLL (e-Lacs)"
"M","M010","True","2","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [0:N] Senão [0]","Sim","Identificação da Conta na Parte B e-Lalur e do e-Lacs"
"M","M030","True","2","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [1:13] Senão [0]","Sim","Identificação do Período e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Real"
"M","M300","True","3","Se 0010. FORMA_TRIB_PER = “R” ou “E” [1:N] Senão [0]","Sim","Demonstração do Lucro Real"
"M","M305","True","4","Se M300.IND_RELACAO = “1” ou “3” [1:N] Senão [0]","Sim","Contas da Parte B Relacionadas ao Lançamento da Parte A do e-Lalur"
"M","M310","True","4","Se M300.IND_RELACAO = “2” ou “3” [1:N] Senão [0]","Sim","Contas Contábeis Relacionadas ao Lançamento da Parte A do e-Lalur"
"M","M312","True","5","Se M310.VL_CTA < M300.VR_LAN_LAL M310.VL_CTA < K155.VL_SLD_FIN; ou M310.VL_CTA < (K155.VL_SLD_FIN – K155.VL_SLD_INI); ou M310.VL_CTA < K155.VL_DEB; ou M310.VL_CTA < K155.VL_CRED. [1:N] Senão [0]","Sim","Números dos Lançamentos Relacionados à Conta Contábil"
"M","M315","True","4","[0;N]","Sim","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento"
"M","M350","True","3","Se 0010. FORMA_TRIB_PER = “R” ou “E” [1:N] Senão [0]","Sim","Demonstração da Base de Cálculo da CSLL"
"M","M355","True","4","Se M350.IND_RELACAO = “1” ou “3” [1:N] Senão [0]","Sim","Contas da Parte B Relacionadas ao ao Lançamento da Parte A do e-Lacs"
"M","M360","True","4","Se M350.IND_RELACAO = “2” ou “3” [1:N] Senão [0]","Sim","Contas Contábeis Relacionadas ao Lançamento da Parte A do e-Lacs"
"M","M362","True","5","[0;N]","Sim","Números dos Lançamentos Relacionados à Conta Contábil"
"M","M365","True","4","[0;N]","Sim","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento"
"M","M410","True","3","[0;N]","Sim","Lançamentos na Conta da Parte B do e-Lalur e do e-Lacs Sem Reflexo na Parte A"
"M","M415","True","4","[0;N]","Sim","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento"
"M","M500","True","3","[0;N]","Sim","Controle de Saldos das Contas da Parte B do e-Lalur e do e- Lacs"
"M","M990","True","1","[1;1]","Sim","Encerramento do Bloco M"
"N","N001","True","1","[1;1]","Sim","Abertura do bloco N – Cálculo do IRPJ e da CSLL"
"N","N030","True","2","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [1:13] Senão [0]","Sim","Identificação do Período e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Real"
"N","N500","True","3","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [1:13] Senão [0]","Sim","Base de Cálculo do IRPJ Sobre o Lucro Real Após as Compensações de Prejuízos"
"N","N600","True","3","Se N030.PER_APUR = “A00” OU [T01..T04] OU ([A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] = “B”) E 0020.IND_LUC_EXP = “S” [1:N] Senão [0]","Sim","Demonstração do Lucro da Exploração"
"N","N610","True","3","Se N030.PER_APUR = [A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] = “E”. [0] Senão Se 0020.IND_LUC_EXP = “S” [1:N] Senão [0:N]","Sim","Cálculo da Isenção e Redução do Imposto sobre Lucro Real"
"N","N615","True","3","Se N030 e 0020.IND_FIN=""S"" Exceto se N030.PER_APUR = [A01..A012] E mês correspondente no 0010. MES_BAL_RED [1..12] = “E”. [1:1] Senão [0]","Sim","Informações da Base de Cálculo de Incentivos Fiscais"
"N","N620","True","3","Se N030.PER_APUR = [A01..A12] [1:N] Senão [0]","Sim","Apuração do IRPJ Mensal por Estimativa"
"N","N630","True","3","Se N030.PER_APUR = “A00” OU [T01..T04] [1:N] Senão [0]","Sim","Apuração do IRPJ Com Base no Lucro Real"
"N","N650","True","3","Se 0010. FORMA_TRIB = “1”, “2”, “3” ou “4” [1:13] Senão [0]","Sim","Base de Cálculo da CSLL Após Compensações das Bases de Cálculo Negativa"
"N","N660","True","3","Se N030.PER_APUR = [A01..A12] [1:N] Senão [0]","Sim","Apuração da CSLL Mensal por Estimativa"
"N","N670","True","3","Se N030.PER_APUR = “A00” OU [T01..T04] [1:N] Senão [0]","Sim","Apuração da CSLL Com Base no Lucro Real"
"N","N990","True","1","[1;1]","Sim","Encerramento do Bloco N"
"P","P001","True","1","[1;1]","Sim","Abertura do Bloco P – Lucro Presumido"
"P","P030","True","2","Se 0010. FORMA_TRIB = “3”, “4”, “5” ou “7” [1:4] Senão [0]","Sim","Identificação dos Período e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Presumido"
"P","P100","True","3","Se 0010. TIP_ESP_PRE = “C” [1:N]","Sim","Balanço Patrimonial"
"P","P150","True","3","Se 0010. TIP_ESP_PRE = “C” [1:N] Senão [0]","Sim","Demonstração do Resultado"
"P","P200","True","3","[1;N]","Sim","Apuração da Base de Cálculo do Lucro Presumido"
"P","P230","True","3","Se 0020. IND_RED_ISEN=""S"" E 0010.OPT_REFIS=""S"" [1:N] Senão [0]","Sim","Cálculo da Isenção e Redução do Lucro Presumido"
"P","P300","True","3","[1;N]","Sim","Cálculo do IRPJ com Base no Lucro Presumido"
"P","P400","True","3","[1;N]","Sim","Apuração da Base de Cálculo da CSLL com Base no Lucro Presumido"
"P","P500","True","3","[1;N]","Sim","Cálculo da CSLL com Base no Lucro Líquido"
"P","P990","True","1","[1;1]","Sim","Encerramento do Bloco P"
"Q","Q001","True","1","[1;1]","Sim","Abertura do Bloco Q – Livro Caixa"
"Q","Q100","True","2","Se 0010. TIP_ESP_PRE = “L” [1:N] Senão [0]","Sim","Demonstrativo do Livro Caixa"
"Q","Q990","True","1","[1;1]","Sim","Encerramento do Bloco Q"
"T","T001","True","1","[1;1]","Sim","Abertura do Bloco T – Lucro Arbitrado"
"T","T030","True","2","Se 0010. FORMA_TRIB = “2”, “4”, “6” ou “7” E 0010.FORMA_TRIB_PER = “A” [1:4] Senão [0]","Sim","Identificação dos Período e Forma de Apuração do IRPJ e CSLL das Empresas Tributadas pelo Lucro Arbitrado"
"T","T120","True","3","[1;N]","Sim","Apuração da Base de Cálculo do IRPJ com Base no Lucro Arbitrado"
"T","T150","True","3","Se 0010.FORMA_TRIB_PER = “A” [1:N] Senão [0]","Sim","Cálculo do Imposto de Renda com Base no Lucro Arbitrado"
"T","T170","True","3","[1;N]","Sim","Apuração da Base de Cálculo da CSLL com Base no Lucro Arbitrado"
"T","T181","True","3","Se 0010.FORMA_TRIB_PER = “A” [1:N] Senão [0]","Sim","Cálculo da CSLL com Base no Lucro Arbitrado"
"T","T990","True","1","[1;1]","Sim","Encerramento do Bloco T"
"U","U001","True","1","[1;1]","Sim","Abertura do Bloco U – Imunes e Isentas"
"U","U030","True","2","Se 0010. FORMA_TRIB = “8” ou “9” [1:4] Senão [0]","Sim","Identificação dos Períodos e Formas de Apuração do IPRJ e da CSLL das Empresas Imunes e Isentas"
"U","U100","True","3","Se 0010. FORMA_TRIB = “8” ou “9” E (0010. FORMA_APUR_I = “A” ou “T” OU 0010.APUR_CSLL = “A” ou “T”) [1:N] Senão [0:N]","Sim","Balanço Patrimonial"
"U","U150","True","3","Se 0010. FORMA_TRIB = “8” ou “9” E (0010. FORMA_APUR_I = “A” ou “T” OU 0010.APUR_CSLL = “A” ou “T”) [1:N] Senão [0:N]","Sim","Demonstração do Resultado"
"U","U180","True","3","Se 0010. FORMA_TRIB = “8” ou “9” E 0010. FORMA_APUR_I = “A” ou “T” [1:N] Senão [0]","Sim","Cálculo do IRPJ das Empresas Imunes ou Isentas"
"U","U182","True","3","Se 0010. FORMA_TRIB = “8” ou “9” E 0010.APUR_CSLL = “A” ou “T” OU 0010. FORMA_APUR_I = “A” ou “T” [1:N] Senão [0]","Sim","Cálculo da CSLL das Empresas Imunes ou Isentas"
"U","U990","True","1","[1;1]","Sim","Encerramento do Bloco U"
"W","W001","True","1","[1;1]","Sim","Abertura do Bloco W - Declaração País-a-País"
"W","W100","True","2","Se 0020.PAIS_A_PAIS = S [1;1] Senão [0]","Sim","Informações Sobre o Grupo Multinacional e a Entidade Declarante"
"W","W200","True","3","Se[ W100.IND_CONTROLADORA = S e W100.IND_ENTREGA = 2] ou W100.IND_ENTREGA = 3 [1;N] Senão [0]","Sim","Declaração País a País"
"W","W250","True","4","Se[ W100.IND_CONTROLADORA = S e W100.IND_ENTREGA = 2] ou W100.IND_ENTREGA = 3 [1;N] Senão [0]","Sim","Declaração País a País - Entidades Integrantes"
"W","W300","True","2","[0;N]","Sim","Observações Adicionais"
"W","W990","True","1","[1;1]","Sim","Encerramento do Bloco W"
"X","X001","True","1","[1;1]","Sim","Abertura do Bloco X – Informações Econômicas"
"X","X280","True","2","Se 0020. IND_LUC_EXP = ""S"" OU 0020.IND_RED_ISEN = ""S"" [1:N] Senão [0]","Sim","Atividades Incentivadas - PJ em Geral"
"X","X291","True","2","Se 0020. IND_OP_EXT = ""S"" E 0020.IND_OP_VINC = ""S"" [1:N] Senão [0]","Sim","Operações com o Exterior - Pessoa Vinculada/Interposta/País com Tributação Favorecida"
"X","X292","True","2","Se 0020. IND_OP_EXT = ""S"" E 0020.IND_OP_VINC = ""N"" [1:N] Senão [0]","Sim","Operações com o Exterior - Pessoa Não Vinculada/ Não Interposta/País sem Tributação Favorecida"
"X","X300","True","2","Se 0020.IND_OP_EXT = ""S"" E 0020.IND_OP_VINC = ""S"" [1:N] Senão [0]","Sim","Operações com o Exterior - Exportações (Entradas de Divisas)"
"X","X310","True","3","[1;N]","Sim","Operações com o Exterior - Contratantes das Exportações"
"X","X320","True","2","Se 0020. IND_OP_EXT = ""S"" E 0020.IND_OP_VINC = ""S"" [1:N] Senão [0]","Sim","Operações com o Exterior - Importações (Saídas de Divisas)"
"X","X330","True","3","[1;N]","Sim","Operações com o Exterior - Contratantes das Importações"
"X","X340","True","2","Se 0020. IND_PART_EXT = ""S"" [1:N] Senão [0]","Sim","Identificação da Participação no Exterior"
"X","X350","True","3","Se 0020. IND_PART_EXT = ""S"" [1:N] Senão [0]","Sim","Participações no Exterior - Resultado do Período de Apuração"
"X","X351","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Resultados e de Imposto a Pagar no Exterior"
"X","X352","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Resultados no Exterior Auferidos por Intermédio de Coligadas em Regime de Caixa"
"X","X353","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Consolidação"
"X","X354","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Prejuízos Acumulados"
"X","X355","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Rendas Ativas e Passivas"
"X","X356","True","3","[0:1] Não deve existir se X340.IND_CONTROLE = “6”","Sim","Demonstrativo de Estrutura Societária"
"X","X390","True","2","Se 0010.FORMA_TRIB = “8” ou “9” [1:N] Senão [0]","Sim","Origem e Aplicação de Recursos - Imunes ou Isentas"
"X","X400","True","2","Se 0020. IND_E-COM_TI = ""S"" [1:N] Senão [0]","Sim","Comércio Eletrônico e Tecnologia da Informação – Informações das Vendas"
"X","X410","True","2","Se 0020. IND_E-COM_TI = ""S"" [1:N] Senão [0]","Sim","Comércio Eletrônico – Informação de Homepage/Servidor"
"X","X420","True","2","Se 0020.IND_ROY_REC = ""S"" OU 0020.IND_ROY_PAG = ""S"" [1:N] Senão [0]","Sim","Royalties Recebidos ou Pagos a Beneficiários do Brasil e do Exterior"
"X","X430","True","2","Se 0020. IND_REND_SERV = ""S"" [1:N] Senão [0]","Sim","Rendimentos Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior"
"X","X450","True","2","Se 0020. IND_PGTO_REM = ""S"" [1:N] Senão [0]","Sim","Pagamentos/Remessas Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior"
"X","X460","True","2","Se 0020. IND_INOV_TEC = ""S"" [1:N] Senão [0]","Sim","Inovação Tecnológica e Desenvolvimento Tecnológico"
"X","X470","True","2","Se 0020. IND_CAP_INF = ""S"" [1:N] Senão [0]","Sim","Capacitação de Informática e Inclusão Digital"
"X","X480","True","2","Se 0020. IND_PJ_HAB = ""S"" [1:N] Senão [0]","Sim","Repes, Recap, Padis, PATVD, Reidi, Repenec, Reicomp, Retaero, Recine, Resíduos Sólidos, Recopa, Copa do Mundo, Retid, REPNBL-Redes, Reif e Olimpíadas"
"X","X490","True","2","Se 0020. IND_POLO_AM = ""S"" [1:N] Senão [0]","Sim","Pólo Industrial de Manaus e Amazônia Ocidental"
"X","X500","True","2","Se 0020. IND_ZON_EXP = ""S"" [1:N] Senão [0]","Sim","Zonas de Processamento de Exportação (ZPE)"
"X","X510","True","2","Se 0020. IND_AREA_COM = ""S"" [1:N] Senão [0]","Sim","Áreas de Livre Comércio (ALC)"
"X","X990","True","1","[1;1]","Sim","Encerramento do Bloco X"
"Y","Y001","True","1","[1;1]","Sim","Abertura do Bloco Y – Informações Gerais"
"Y","Y520","True","2","Se 0020.IND_ REC_EXT = ""S"" OU 0020.IND_PGTO_EXT = ""S"" [1:2] Senão [0]","Sim","Pagamentos/Recebimentos do Exterior ou de Não Residentes"
"Y","Y540","True","2","[0:N] Não deve existir se 0010.TIP_ENT = “06”, “13” ou “14”","Sim","Discriminação da Receita de Vendas dos Estabelecimentos por Atividade Econômica"
"Y","Y550","True","2","Se 0020. IND_VEND_EXP = ""S"" [1:N] Senão [0]","Sim","Vendas a Comercial Exportadora com Fim Específico de Exportação"
"Y","Y560","True","2","Se 0020.IND_COM_EXP = ""S"" [1:N] Senão [0]","Sim","Detalhamento das Exportações da Comercial Exportadora"
"Y","Y570","True","2","[0:N] Não deve existir se 0010.FORMA_APUR_I = “D” E 0010.APUR_CSLL = “D”","Sim","Demonstrativo do Imposto de Renda e CSLL Retidos na Fonte"
"Y","Y580","True","2","Se 0020.IND_DOA_ELEIT = ""S"" [1:N] Senão [0]","Sim","Doações a Campanhas Eleitorais"
"Y","Y590","True","2","Se 0020.IND_ATIV_EXT = ""S"" [1:N] Senão [0:N]","Sim","Ativos no Exterior"
"Y","Y600","True","2","Se 0010.FORMA_TRIB = ""1"" a ""7"" [1:N] Senão [0]","Sim","Identificação e Remuneração de Sócios, Titulares, Dirigentes e Conselheiro"
"Y","Y612","True","2","Se 0010.FORMA_TRIB = “8” e “9” [0:N] Senão [0]","Sim","Identificação e Rendimentos de Dirigentes e Conselheiros - Imunes ou Isentas"
"Y","Y620","True","2","Se 0020.IND_PART_COLIG = ""S"" [1:N] Senão [0]","Sim","Participações Avaliadas pelo Método de Equivalência Patrimonial"
"Y","Y630","True","2","Se 0020.IND_ADM_FUN_CLU = ""S"" [1:N] Senão [0]","Sim","Fundos/Clubes de Investimento"
"Y","Y640","True","2","Se 0020.IND_PART_CONS = ""S"" [1:N] Senão [0]","Sim","Participações em Consórcios de Empresas"
"Y","Y650","True","2","Se Y640.COND_DECL = “1” [1:N] Senão [0]","Sim","Participantes do Consórcio"
"Y","Y660","True","2","Se 0010.SIT_ESPECIAL = “2”, “3”, “5” ou “6” [1:N] Senão [0]","Sim","Dados de Sucessoras"
"Y","Y671","True","2","Se 0010.FORMA_TRIB = “1”, “2”, “3” ou “4” [1:1] Senão [0]","Sim","Outras Informações"
"Y","Y680","True","2","Se 0010.OPT_REFIS=""S"" E 0010.FORMA_TRIB ≠ “8” e “9” [1:12] Senão [0]","Sim","Mês das Informações de Optantes pelo Refis (Lucro Real, Presumido e Arbitrado)"
"Y","Y681","True","3","Se 0010.OPT_REFIS=""S"" E 0010.FORMA_TRIB ≠ “8” e “9” [1:12] Senão [0]","Sim","Informações de Optantes pelo Refis (Lucro Real, Presumido e Arbitrado)"
"Y","Y682","True","2","Se 0010.OPT_REFIS=""S"" E 0010.FORMA_TRIB = “8” e “9” [1:12] Senão [0]","Sim","Informações de Optantes pelo Refis - Imunes ou Isentas"
"Y","Y690","True","2","Se 0010.OPT_PAES = ""S"" [1:12] Senão [0]","Sim","Informações de Optantes pelo Paes"
"Y","Y720","True","2","OC Obrigatório se a entrega da escrituração é feita com atraso. [1:1] Senão [0]","Sim","Informações de Períodos Anteriores"
"Y","Y800","True","2","[0;N]","Sim","Outras Informações"
"Y","Y990","True","1","[1;1]","Sim","Encerramento do Bloco Y"
"9","9001","True","1","[1;1]","Sim","Abertura do Bloco 9"
"9","9100","True","2","[0;N]","Sim","Avisos da Escrituração"
"9","9900","True","2","[1;N]","Sim","Registros do Arquivo"
"9","9099","","1","[1;1]","","Encerramento do Bloco 9"
"9","9999","True","1","[1;1]","Sim","Encerramento do Arquivo Digital"
