"register","index","code","desc","spec_type","length","spec_required","type","required","decimal"
"0900","7","REC_NRB_BLOCO_D","Parcela da receita total escriturada no Bloco D (Campo 06), não classificada como receita bruta","N","","N","float","False","02"
"0900","8","REC_TOTAL_BLOCO_F","Receita total referente aos registros escriturados no Bloco F","N","","S","float","True","02"
"0900","9","REC_NRB_BLOCO_F","Parcela da receita total escriturada no Bloco F (Campo 08), não classificada como receita bruta","N","","N","float","False","02"
"0900","10","REC_TOTAL_BLOCO_I","Receita total referente aos registros escriturados no Bloco I","N","","S","float","True","02"
"0900","11","REC_NRB_BLOCO_I","Parcela da receita total escriturada no Bloco I (Campo 10) não classificada como receita bruta","N","","N","float","False","02"
"0900","12","REC_TOTAL_BLOCO_1","Receita total referente aos registros escriturados no Bloco 1 (RET)","N","","S","float","True","02"
"0900","13","REC_NRB_BLOCO_1","Parcela da receita total escriturada no Bloco 1 (Campo 12), não classificada como receita bruta","N","","N","float","False","02"
"0900","14","REC_TOTAL_PERIODO","Receita bruta total (Soma dos Campos 02, 04, 06, 08, 10 e 12)","N","","S","float","True","02"
"0900","15","REC_TOTAL_NRB_PERÍODO","Parcela da receita total escriturada (Campo 14), não classificada como receita bruta (Soma dos Campos 03, 05, 07, 09, 11 e 13)","N","","N","float","False","02"
"0990","2","QTD_LIN_0","Quantidade total de linhas do Bloco 0","N","","S","int","True",""
"A001","2","IND_MOV","Indicador de movimento: 0 - Bloco com dados informados; 1 - Bloco sem dados informados","C","001","S","char","True",""
"A010","2","CNPJ","Número de inscrição do estabelecimento no CNPJ.","N","014*","S","int","True",""
"A100","2","IND_OPER","Indicador do tipo de operação: 0 - Serviço Contratado pelo Estabelecimento; 1 - Serviço Prestado pelo Estabelecimento.","C","001*","S","char","True",""
"A100","3","IND_EMIT","Indicador do emitente do documento fiscal: 0 - Emissão Própria; 1 - Emissão de Terceiros","C","001*","S","char","True",""
"A100","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento, no caso de emissão de terceiros; - do adquirente, no caso de serviços prestados.","C","060","N","char","False",""
"A100","5","COD_SIT","Código da situação do documento fiscal: 00 – Documento regular 02 – Documento cancelado","N","002*","S","int","True",""
"A100","6","SER","Série do documento fiscal","C","020","N","char","False",""
"A100","7","SUB","Subsérie do documento fiscal","C","020","N","char","False",""
"A100","8","NUM_DOC","Número do documento fiscal ou documento internacional equivalente","C","060","S","char","True",""
"A100","9","CHV_NFSE","Chave/Código de Verificação da nota fiscal de serviço eletrônica","C","060","N","char","False",""
"A100","10","DT_DOC","Data da emissão do documento fiscal","N","008*","S","date","True",""
"A110","2","COD_INF","Código da informação complementar do documento fiscal (Campo 02 do Registro 0450)","C","006","S","char","True",""
"A110","3","TXT_COMPL","Informação Complementar do Documento Fiscal","C","","N","char","False",""
"A111","2","NUM_PROC","Identificação do processo ou ato concessório","C","015","S","char","True",""
"A111","3","IND_PROC","Indicador da origem do processo: 1 - Justiça Federal; 3 – Secretaria da Receita Federal do Brasil 9 - Outros.","C","001*","S","char","True",""
"A120","2","VL_TOT_SERV","Valor total do serviço, prestado por pessoa física ou jurídica domiciliada no exterior.","N","","S","float","True","02"
"A120","3","VL_BC_PIS","Valor da base de cálculo da Operação – PIS/PASEP – Importação","N","","S","float","True","02"
"A120","4","VL_PIS_IMP","Valor pago/recolhido de PIS/PASEP – Importação","N","","N","float","False","02"
"A120","5","DT_PAG_PIS","Data de pagamento do PIS/PASEP – Importação","N","008 *","N","date","False",""
"A120","6","VL_BC_COFINS","Valor da base de cálculo da Operação – COFINS – Importação","N","","S","float","True","02"
"A120","7","VL_COFINS_IMP","Valor pago/recolhido de COFINS – Importação","N","","N","float","False","02"
"A120","8","DT_PAG_COFINS","Data de pagamento do COFINS – Importação","N","008 *","N","date","False",""
"A120","9","LOC_EXE_SERV","Local da execução do serviço: 0 – Executado no País; 1 – Executado no Exterior, cujo resultado se verifique no País.","C","001 *","S","char","True",""
"A170","2","NUM_ITEM","Número seqüencial do item no documento fiscal","N","004","S","int","True",""
"A170","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","S","char","True",""
"A170","4","DESCR_COMPL","Descrição complementar do item como adotado no documento fiscal","C","","N","char","False",""
"A170","5","VL_ITEM","Valor total do item (mercadorias ou serviços)","N","","S","float","True","02"
"A170","6","VL_DESC","Valor do desconto comercial / exclusão da base de cálculo do PIS/PASEP e da COFINS","N","","N","float","False","02"
"A170","7","NAT_BC_CRED","Código da base de cálculo do crédito, conforme a Tabela indicada no item 4.3.7, caso seja informado","C","002*","N","char","False",""
"A170","8","IND_ORIG_CRED","Indicador da origem do crédito: 0 – Operação no Mercado Interno 1 – Operação de Importação","C","001*","N","char","False",""
"A170","9","CST_PIS","Código da Situação Tributária referente ao PIS/PASEP – Tabela 4.3.3.","N","002*","S","int","True",""
"A170","10","VL_BC_PIS","Valor da base de cálculo do PIS/PASEP.","N","","N","float","False","02"
"A170","11","ALIQ_PIS","Alíquota do PIS/PASEP (em percentual)","N","","N","float","False","02"
"A170","12","VL_PIS","Valor do PIS/PASEP","N","","N","float","False","02"
"A170","13","CST_COFINS","Código da Situação Tributária referente ao COFINS – Tabela 4.3.4.","N","002*","S","int","True",""
"A170","14","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","N","float","False","02"
"A170","15","ALIQ_COFINS","Alíquota do COFINS (em percentual)","N","006","N","float","False","02"
"A170","16","VL_COFINS","Valor da COFINS","N","","N","float","False","02"
"A170","17","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","N","char","False",""
"A170","18","COD_CCUS","Código do centro de custos","C","255","N","char","False",""
"C001","2","IND_MOV","Indicador de movimento: 0 - Bloco com dados informados; 1 - Bloco sem dados informados","C","001*","S","char","True",""
"C010","2","CNPJ","Número de inscrição do estabelecimento no CNPJ.","N","014*","S","int","True",""
"C010","3","IND_ESCRI","Indicador da apuração das contribuições e créditos, na escrituração das operações por NF-e e ECF, no período: 1 – Apuração com base nos registros de consolidação das operações por NF-e (C180 e C190) e por ECF (C490); 2 – Apuração com base no registro individualizado de NF-e (C100 e C170) e de ECF (C400)","C","001*","N","char","False",""
"C100","2","IND_OPER","Indicador do tipo de operação: 0- Entrada; 1- Saída","C","001*","S","char","True",""
"C100","3","IND_EMIT","Indicador do emitente do documento fiscal: 0- Emissão própria; 1- Terceiros","C","001*","S","char","True",""
"C100","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","S","char","True",""
"C100","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","S","char","True",""
"C100","6","COD_SIT;","Código da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","S","int","True",""
"C100","7","SER","Série do documento fiscal","C","003","N","char","False",""
"C100","8","NUM_DOC","Número do documento fiscal","N","009","S","int","True",""
"C100","9","CHV_NFE","Chave da Nota Fiscal Eletrônica ou da NFC-e","N","044*","N","int","False",""
"C100","10","DT_DOC","Data da emissão do documento fiscal","N","008*","S","date","True",""
"C100","11","DT_E_S","Data da entrada ou da saída","N","008*","N","date","False",""
"C100","12","VL_DOC","Valor total do documento fiscal","N","","S","float","True","02"
"C100","13","IND_PGTO","Indicador do tipo de pagamento: 0- À vista; 1- A prazo; 9- Sem pagamento.","C","001*","S","char","True",""
"C100","14","VL_DESC","Valor total do desconto","N","","N","float","False","02"
"C100","15","VL_ABAT_NT","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM.","N","","N","float","False","02"
"C100","16","VL_MERC","Valor total das mercadorias e serviços","N","","N","float","False","02"
"C100","17","IND_FRT","Indicador do tipo do frete: 0- Por conta de terceiros; 1- Por conta do emitente; 2- Por conta do destinatário; 9- Sem cobrança de frete.","C","001*","S","char","True",""
"C100","18","VL_FRT","Valor do frete indicado no documento fiscal","N","","N","float","False","02"
"C100","19","VL_SEG","Valor do seguro indicado no documento fiscal","N","","N","float","False","02"
"C100","20","VL_OUT_DA","Valor de outras despesas acessórias","N","","N","float","False","02"
"C100","21","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","N","float","False","02"
"C100","22","VL_ICMS","Valor do ICMS","N","","N","float","False","02"
"C100","23","VL_BC_ICMS_ST","Valor da base de cálculo do ICMS substituição tributária","N","","N","float","False","02"
"C100","24","VL_ICMS_ST","Valor do ICMS retido por substituição tributária","N","","N","float","False","02"
"C100","25","VL_IPI","Valor total do IPI","N","","N","float","False","02"
"C100","26","VL_PIS","Valor total do PIS","N","","N","float","False","02"
"C100","27","VL_COFINS","Valor total da COFINS","N","","N","float","False","02"
"C100","28","VL_PIS_ST","Valor total do PIS retido por substituição tributária","N","","N","float","False","02"
"C100","29","VL_COFINS_ST","Valor total da COFINS retido por substituição tributária","N","","N","float","False","02"
"C110","2","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","S","char","True",""
"C110","3","TXT_COMPL","Descrição complementar do código de referência.","C","","N","char","False",""
"C111","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","S","char","True",""
"C111","3","IND_PROC","Indicador da origem do processo: 1 - Justiça Federal; 3 – Secretaria da Receita Federal do Brasil 9 – Outros.","C","001*","S","char","True",""
"C120","2","COD_DOC_IMP","Documento de importação: 0 – Declaração de Importação; 1 – Declaração Simplificada de Importação;","C","001*","S","char","True",""
"C120","3","NUM_DOC_IMP","Número do documento de Importação.","C","015","S","char","True",""
"C120","4","VL_PIS_IMP","Valor pago de PIS na importação","N","","N","float","False","02"
"C120","5","VL_COFINS_IMP","Valor pago de COFINS na importação","N","","N","float","False","02"
"C120","6","NUM_ACDRAW","Número do Ato Concessório do regime Drawback","C","020","N","char","False",""
"C175","2","CFOP","Código fiscal de operação e prestação","N","004*","S","int","True",""
"C175","3","VL_OPR","Valor da operação na combinação de CFOP, CST e alíquotas, correspondente ao somatório do valor das mercadorias e produtos constantes no documento.","N","","S","float","True","02"
"C175","4","VL_DESC","Valor do desconto comercial / exclusão da base de cálculo do PIS/PASEP e da COFINS","N","","N","float","False","02"
"C175","5","CST_PIS","Código da Situação Tributária referente ao PIS/PASEP, conforme a Tabela indicada no item 4.3.3.","N","002*","N","int","False",""
"C175","6","VL_BC_PIS","Valor da base de cálculo do PIS/PASEP (em valor)","N","","N","float","False","02"
"C175","7","ALIQ_PIS","Alíquota do PIS/PASEP (em percentual)","N","008","N","float","False","04"
"C175","8","QUANT_BC_PIS","Base de cálculo PIS/PASEP (em quantidade)","N","","N","float","False","03"
"C175","9","ALIQ_PIS_QUANT","Alíquota do PIS (em reais)","N","","N","float","False","04"
"C175","10","VL_PIS","Valor do PIS/PASEP","N","","N","float","False","02"
"C175","11","CST_COFINS","Código da Situação Tributária referente a Cofins, conforme a Tabela indicada no item 4.3.4.","N","002*","S","int","True",""
"C175","12","VL_BC_COFINS","Valor da base de cálculo da Cofins","N","","N","float","False","02"
"C175","13","ALIQ_COFINS","Alíquota da Cofins (em percentual)","N","008","N","float","False","04"
"C175","14","QUANT_BC_COFINS","Base de cálculo COFINS (em quantidade)","N","","N","float","False","03"
"C175","15","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","N","float","False","04"
"C175","16","VL_COFINS","Valor da Cofins","N","","N","float","False","02"
"C175","17","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","N","char","False",""
"C175","18","INFO_COMPL","Informação complementar","C","","N","char","False",""
"C180","2","COD_MOD","Texto fixo contendo ""55"" ou “65”(Código da NF-e ou da NFC-e, conforme a Tabela 4.1.1)","C","002*","S","char","True",""
"C180","3","DT_DOC_INI","Data de Emissão Inicial dos Documentos","N","008*","S","date","True",""
"C180","4","DT_DOC_FIN","Data de Emissão Final dos Documentos","N","008*","S","date","True",""
"C180","5","COD_ITEM","Código do Item (campo 02 do Registro 0200)","C","060","S","char","True",""
"C180","6","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008*","N","char","False",""
"C180","7","EX_IPI","Código EX, conforme a TIPI","C","003","N","char","False",""
"C180","8","VL_TOT_ITEM","Valor Total do Item","N","","S","float","True","02"
"C181","2","CST_PIS","Código da Situação Tributária referente ao PIS/PASEP, conforme a Tabela indicada no item 4.3.3.","N","002*","S","int","True",""
"C181","3","CFOP","Código fiscal de operação e prestação","N","004*","S","int","True",""
"C181","4","VL_ITEM","Valor do item","N","","S","float","True","02"
"C181","5","VL_DESC","Valor do desconto comercial / exclusão da base de cálculo","N","","N","float","False","02"
"C181","6","VL_BC_PIS","Valor da base de cálculo do PIS/PASEP","N","","N","float","False","02"
"C181","7","ALIQ_PIS","Alíquota do PIS/PASEP (em percentual)","N","008","N","float","False","04"
"C181","8","QUANT_BC_PIS","Quantidade – Base de cálculo PIS/PASEP","N","","N","float","False","03"
"C185","2","CST_COFINS","Código da Situação Tributária referente a COFINS, conforme a Tabela indicada no item 4.3.4.","N","002*","S","int","True",""
"C185","3","CFOP","Código fiscal de operação e prestação","N","004*","S","int","True",""
"C185","4","VL_ITEM","Valor do item","N","","S","float","True","02"
"C185","5","VL_DESC","Valor do desconto comercial / exclusão da base de cálculo","N","","N","float","False","02"
"C185","6","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","N","float","False","02"
"C185","7","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","N","float","False","04"
"C188","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","S","char","True",""
"C188","3","IND_PROC","Indicador da origem do processo: 1 - Justiça Federal; 3 - Secretaria da Receita Federal do Brasil; 9 – Outros.","C","001*","S","char","True",""
"C190","2","COD_MOD","Texto fixo contendo ""55"" (Código da Nota Fiscal Eletrônica, modelo 55, conforme a Tabela 4.1.1)","C","002*","S","char","True",""
"C190","3","DT_REF_INI","Data Inicial de Referência da Consolidação","N","008*","S","date","True",""
"C190","4","DT_REF_FIN","Data Final de Referência da Consolidação","N","008*","S","date","True",""
"C190","5","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","S","char","True",""
"C190","6","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008*","N","char","False",""
"C190","7","EX_IPI","Código EX, conforme a TIPI","C","003","N","char","False",""
"C190","8","VL_TOT_ITEM","Valor Total do Item","N","","S","float","True","02"
"C191","2","CNPJ_CPF_PART","CNPJ/CPF do Participante a que se referem as operações consolidadas neste registro (pessoa jurídica ou pessoa física vendedora/remetente)","C","014","N","char","False",""
"C191","3","CST_PIS","Código da Situação Tributária referente ao PIS/PASEP","N","002*","S","int","True",""
"C191","4","CFOP","Código fiscal de operação e prestação","N","004*","S","int","True",""
"C191","5","VL_ITEM","Valor do item","N","","S","float","True","02"
"C191","6","VL_DESC","Valor do desconto comercial / Exclusão","N","","N","float","False","02"
"C191","7","VL_BC_PIS","Valor da base de cálculo do PIS/PASEP","N","","N","float","False","02"
"C191","8","ALIQ_PIS","Alíquota do PIS/PASEP (em percentual)","N","008","N","float","False","04"
"C191","9","QUANT_BC_PIS","Quantidade – Base de cálculo PIS/PASEP","N","","N","float","False","03"
"C195","2","CNPJ_CPF_PART","CNPJ/CPF do Participante a que se referem as operações consolidadas neste registro (pessoa jurídica ou pessoa física vendedora/remetente)","C","014","N","char","False",""
"C195","3","CST_COFINS","Código da Situação Tributária referente a COFINS.","N","002*","S","int","True",""
"C195","4","CFOP","Código fiscal de operação e prestação","N","004*","S","int","True",""
"C195","5","VL_ITEM","Valor do item","N","","S","float","True","02"
"C195","6","VL_DESC","Valor do desconto comercial / Exclusão","N","","N","float","False","02"
"C195","7","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","N","float","False","02"
"C195","8","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","N","float","False","04"
