"block","code","desc","level","card"
"Q","Q990","Encerramento do Bloco Q","1","[1;1]"
"T","T001","Abertura do Bloco T – Lucro Arbitrado","1","[1;1]"
"T","T030","Identificação dos Períodos e Forma de Apuração do IRPJ e CSLL das Empresas Tributadas pelo Lucro Arbitrado","2","[0;4]"
"T","T120","Apuração da Base de Cálculo do IRPJ com Base no Lucro Arbitrado","3","[0;N]"
"T","T150","Cálculo do Imposto de Renda com Base no Lucro Arbitrado","3","[0;N]"
"T","T170","Apuração da Base de Cálculo da CSLL com Base no Lucro Arbitrado","3","[0;N]"
"T","T181","Cálculo da CSLL com Base no Lucro Arbitrado","3","[0;N]"
"T","T990","Encerramento do Bloco T","1","[1;1]"
"U","U001","Abertura do Bloco U – Imunes e Isentas","1","[1;1]"
"U","U030","Identificação dos Períodos e Formas de Apuração do IPRJ e da CSLL das Empresas Imunes e Isentas","2","[0;4]"
"U","U100","Balanço Patrimonial","3","[0;N]"
"U","U150","Demonstração do Resultado","3","[0;N]"
"U","U180","Cálculo do IRPJ das Empresas Imunes ou Isentas","3","[0;N]"
"U","U182","Cálculo da CSLL das Empresas Imunes ou Isentas","3","[0;N]"
"U","U990","Encerramento do Bloco U","1","[1;1]"
"V","V001","Abertura do Bloco V – DEREX","1","[1;1]"
"V","V010","DEREX – Instituição","2","[0;N]"
"V","V020","DEREX - Responsável pela Movimentação","3","[1;N]"
"V","V030","DEREX - Período – Mês","3","[1;12]"
"V","V100","Demonstrativo dos recursos em moeda estrangeira decorrentes do recebimento de exportações","4","[1;N]"
"V","V990","Encerramento do Bloco V","1","[1;1]"
"W","W001","Abertura do Bloco W - Declaração País-a-País","1","[1;1]"
"W","W100","Informações Sobre o Grupo Multinacional e a Entidade Declarante","2","[0;1]"
"W","W200","Declaração País a País","3","[0;N] Observação: Quando for obrigatório, deverá aparecer, no mínimo, duas vezes."
"W","W250","Declaração País a País - Entidades Integrantes","4","[0;N]"
"W","W300","Observações Adicionais","2","[0;N]"
"W","W990","Encerramento do Bloco W","1","[1;1]"
"X","X001","Abertura do Bloco X – Informações Econômicas","1","[1;1]"
"X","X280","Atividades Incentivadas - PJ em Geral","2","[0;N]"
"X","X291","Operações com o Exterior - Pessoa Vinculada/Interposta/País com Tributação Favorecida","2","[0;N]"
"X","X292","Operações com o Exterior - Pessoa Não Vinculada/ Não Interposta/País sem Tributação Favorecida","2","[0;N]"
"X","X300","Operações com o Exterior - Exportações (Entradas de Divisas)","2","[0;N]"
"X","X310","Operações com o Exterior - Contratantes das Exportações","3","[0;N]"
"X","X320","Operações com o Exterior - Importações (Saídas de Divisas)","2","[0;N]"
"X","X330","Operações com o Exterior - Contratantes das Importações","3","[0;N]"
"X","X340","Identificação da Participação no Exterior","2","[0;N]"
"X","X350","Participações no Exterior - Resultado do Período de Apuração","3","[0;N]"
"X","X351","Demonstrativo de Resultados e de Imposto a Pagar no Exterior","3","[0;N]"
"X","X352","Demonstrativo de Resultados no Exterior Auferidos por Intermédio de Coligadas em Regime de Caixa","3","[0;N]"
"X","X353","Demonstrativo de Consolidação","3","[0;N]"
"X","X354","Demonstrativo de Prejuízos Acumulados","3","[0;N]"
"X","X355","Demonstrativo de Rendas Ativas e Passivas","3","[0;N]"
"X","X356","Demonstrativo de Estrutura Societária","3","[0;N]"
"X","X357","Investidoras Diretas","3","[0;N]"
"X","X390","Origem e Aplicação de Recursos - Imunes ou Isentas","2","[0;N]"
"X","X400","Comércio Eletrônico e Tecnologia da Informação – Informações das Vendas","2","[0;N]"
"X","X410","Comércio Eletrônico – Informação de Homepage/Servidor","2","[0;N]"
"X","X420","Royalties Recebidos ou Pagos a Beneficiários do Brasil e do Exterior","2","[0;N]"
"X","X430","Rendimentos Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior","2","[0;N]"
"X","X450","Pagamentos ou Remessas Relativos a Serviços, Juros e Dividendos a Beneficiários do Brasil e do Exterior","2","[0;N]"
"X","X460","Inovação Tecnológica e Desenvolvimento Tecnológico","2","[0;N]"
"X","X470","Capacitação de Informática e Inclusão Digital","2","[0;N]"
"X","X480","Repes, Recap, Padis, PATVD, Reidi, Repenec, Reicomp, Retaero, Recine, Resíduos Sólidos, Recopa, Copa do Mundo, Retid, REPNBL-Redes, Reif e Olimpíadas","2","[0;N]"
"X","X490","Polo Industrial de Manaus e Amazônia Ocidental","2","[0;N]"
"X","X500","Zonas de Processamento de Exportação (ZPE)","2","[0;N]"
"X","X510","Áreas de Livre Comércio (ALC)","2","[0;N]"
"X","X990","Encerramento do Bloco X","1","[1;1]"
"Y","Y001","Abertura do Bloco Y – Informações Gerais","1","[1;1]"
"Y","Y520","Pagamentos/Recebimentos do Exterior ou de Não Residentes","2","[0;N]"
"Y","Y540","Discriminação da Receita de Vendas dos Estabelecimentos por Atividade Econômica","2","[0;N]"
"Y","Y550","Vendas a Comercial Exportadora com Fim Específico de Exportação","2","[0;N]"
"Y","Y560","Detalhamento das Exportações da Comercial Exportadora","2","[0;N]"
"Y","Y570","Demonstrativo do Imposto de Renda e CSLL Retidos na Fonte","2","[0;N]"
"Y","Y580","Doações a Campanhas Eleitorais","2","[0;N]"
"Y","Y590","Ativos no Exterior","2","[0;N]"
"Y","Y600","Identificação e Remuneração de Sócios, Titulares, Dirigentes e Conselheiro","2","[0;N]"
"Y","Y612","Identificação e Rendimentos de Dirigentes e Conselheiros - Imunes ou Isentas","2","[0;N]"
"Y","Y620","Participações Avaliadas pelo Método de Equivalência Patrimonial","2","[0;N]"
"Y","Y630","Fundos/Clubes de Investimento","2","[0;N]"
"Y","Y640","Participações em Consórcios de Empresas","2","[0;N]"
"Y","Y650","Participantes do Consórcio","2","[0;N]"
"Y","Y660","Dados de Sucessoras","2","[0;N]"
"Y","Y671","Outras Informações","2","[0;1]"
"Y","Y672","Outras Informações (Lucro Presumido ou Lucro Arbitrado)","2","[0;1]"
"Y","Y680","Mês das Informações de Optantes pelo Refis (Lucro Real, Presumido e Arbitrado)","2","[0;12]"
"Y","Y681","Informações de Optantes pelo Refis (Lucro Real, Presumido e Arbitrado)","3","[0;12]"
"Y","Y682","Informações de Optantes pelo Refis - Imunes ou Isentas","2","[0;12]"
"Y","Y690","Informações de Optantes pelo Paes","2","[0;12]"
"Y","Y720","Informações de Períodos Anteriores","2","[0;1]"
"Y","Y800","Outras Informações","2","[0;N]"
"Y","Y990","Encerramento do Bloco Y","1","[1;1]"
"9","9001","Abertura do Bloco 9","1","[1;1]"
"9","9100","Avisos da Escrituração","2","[1;N]"
"9","9900","Registros do Arquivo","2","[1;N]"
"9","9099","Encerramento do Bloco 9","1","[1;1]"
"9","9999","Encerramento do Arquivo Digital","1","[1;1]"
