"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","decimal","spec_type","spec_required","spec_in","spec_out","desc"
"C114","6","DT_DOC","date","","True","True","","","","008*","","N","","O","O","Data da emissão do documento fiscal"
"C115","2","IND_CARGA","int","","","True","","","","001*","","N","","","O","Indicador do tipo de transporte: 0 – Rodoviário; 1 – Ferroviário; 2 – Rodo-Ferroviário; 3 – Aquaviário; 4 – Dutoviário; 5 – Aéreo; 9 – Outros."
"C115","3","CNPJ_COL","int","","","","","","True","014*","","N","","","OC","Número do CNPJ do contribuinte do local de coleta"
"C115","4","IE_COL","char","","","","","","True","014","","C","","","OC","Inscrição Estadual do contribuinte do local de coleta"
"C115","5","CPF_COL","int","","","","","","True","011*","","N","","","OC","CPF do contribuinte do local de coleta das mercadorias."
"C115","6","COD_MUN_COL","int","","","","","","True","007*","","N","","","OC","Código do Município do local de coleta"
"C115","7","CNPJ_ENTG","int","","","","","","True","014*","","N","","","OC","Número do CNPJ do contribuinte do local de entrega"
"C115","8","IE_ENTG","char","","","","","","True","014","","C","","","OC","Inscrição Estadual do contribuinte do local de entrega"
"C115","9","CPF_ENTG","int","","","","","","True","011*","","N","","","OC","Cpf do contribuinte do local de entrega"
"C115","10","COD_MUN_ENTG","int","","","","","","True","007*","","N","","","OC","Código do Município do local de entrega"
"C116","2","COD_MOD","char","","True","True","","","","002","","C","","O","O","Código do modelo do documento fiscal, conforme a Tabela 4.1.1"
"C116","3","NR_SAT","int","","True","True","","","","009","","N","","O","O","Número de Série do equipamento SAT"
"C116","4","CHV_CFE","int","","True","True","","","","044","","N","","O","O","Chave do Cupom Fiscal Eletrônico"
"C116","5","NUM_CFE","int","","True","True","","","","006","","N","","O","O","Número do cupom fiscal eletrônico"
"C116","6","DT_DOC","date","","True","True","","","","008","","N","","O","O","Data da emissão do documento fiscal"
"C120","2","COD_DOC_IMP","char","","True","","","","","001*","","C","","O","","Documento de importação: 0 – Declaração de Importação; 1 – Declaração Simplificada de Importação."
"C120","3","NUM_DOC_IMP","char","","True","","","","","012","","C","","O","","Número do documento de Importação."
"C120","4","PIS_IMP","float","","","","","True","","","02","N","","OC","","Valor pago de PIS na importação"
"C120","5","COFINSIMP","float","","","","","True","","","02","N","","OC","","Valor pago de COFINS na importação"
"C120","6","NUM_ACDRAW","char","","","","","True","","020","","C","","OC","","Número do Ato Concessório do regime Drawback"
"C130","2","VL_SERV_NT","float","","","True","","","","","02","N","","","O","Valor dos serviços sob não-incidência ou não- tributados pelo ICMS"
"C130","3","VL_BC_ISSQN","float","","","True","","","","","02","N","","","O","Valor da base de cálculo do ISSQN"
"C130","4","VL_ISSQN","float","","","","","","True","","02","N","","","OC","Valor do ISSQN"
"C130","5","VL_BC_IRRF","float","","","","","","True","","02","N","","","OC","Valor da base de cálculo do Imposto de Renda Retido na Fonte"
"C130","6","VL_IRRF","float","","","","","","True","","02","N","","","OC","Valor do Imposto de Renda - Retido na Fonte"
"C130","7","VL_BC_PREV","float","","","","","","True","","02","N","","","OC","Valor da base de cálculo de retenção da Previdência Social"
"C130","8","VL_PREV","float","","","","","","True","","02","N","","","OC","Valor destacado para retenção da Previdência Social"
"C140","2","IND_EMIT","char","","True","True","","","","001*","","C","","O","O","Indicador do emitente do título: 0- Emissão própria; 1- Terceiros"
"C140","3","IND_TIT","char","","True","True","","","","002*","","C","","O","O","Indicador do tipo de título de crédito: 00- Duplicata; 01- Cheque; 02- Promissória; 03- Recibo; 99- Outros (descrever)"
"C140","4","DESC_TIT","char","","","","","True","True","","","C","","OC","OC","Descrição complementar do título de crédito"
"C140","5","NUM_TIT","char","","True","True","","","","","","C","","O","O","Número ou código identificador do título de crédito"
"C140","6","QTD_PARC","int","","True","True","","","","002","","N","","O","O","Quantidade de parcelas a receber/pagar"
"C140","7","VL_TIT","float","","True","True","","","","","02","N","","O","O","Valor total dos títulos de créditos"
"C141","2","NUM_PARC","int","","True","True","","","","002","","N","","O","O","Número da parcela a receber/pagar"
"C141","3","DT_VCTO","date","","True","True","","","","008*","","N","","O","O","Data de vencimento da parcela"
"C141","4","VL_PARC","float","","True","True","","","","","02","N","","O","O","Valor da parcela a receber/pagar"
"C160","2","COD_PART","char","","","","","","True","060","","C","","","OC","Código do participante (campo 02 do Registro 0150): - transportador, se houver"
"C160","3","VEIC_ID","char","","","","","","True","007","","C","","","OC","Placa de identificação do veículo automotor"
"C160","4","QTD_VOL","int","","","True","","","","","","N","","","O","Quantidade de volumes transportados"
"C160","5","PESO_BRT","float","","","True","","","","","02","N","","","O","Peso bruto dos volumes transportados (em Kg)"
"C160","6","PESO_LIQ","float","","","True","","","","","02","N","","","O","Peso líquido dos volumes transportados (em Kg)"
"C160","7","UF_ID","char","","","","","","True","002","","C","","","OC","Sigla da UF da placa do veículo"
"C165","2","COD_PART","char","","","","","","True","060","","C","","","OC","Código do participante (campo 02 do Registro 0150): - transportador, se houver"
"C165","3","VEIC_ID","char","","","True","","","","007","","C","","","O","Placa de identificação do veículo"
"C165","4","COD_AUT","char","","","","","","True","","","C","","","OC","Código da autorização fornecido pela SEFAZ (combustíveis)"
"C165","5","NR_PASSE","char","","","","","","True","","","C","","","OC","Número do Passe Fiscal"
"C165","6","HORA","int","","","True","","","","006*","","N","","","O","Hora da saída das mercadorias"
"C165","7","TEMPER","float","","","","","","True","","01","N","","","OC","Temperatura em graus Celsius utilizada para quantificação do volume de combustível"
"C165","8","QTD_VOL","int","","","True","","","","","","N","","","O","Quantidade de volumes transportados"
"C165","9","PESO_BRT","float","","","True","","","","","02","N","","","O","Peso bruto dos volumes transportados (em Kg)"
"C165","10","PESO_LIQ","float","","","True","","","","","02","N","","","O","Peso líquido dos volumes transportados (em Kg)"
"C165","11","NOM_MOT","char","","","","","","True","060","","C","","","OC","Nome do motorista"
"C165","12","CPF","int","","","","","","True","011*","","N","","","OC","CPF do motorista"
"C165","13","UF_ID","char","","","","","","True","002","","C","","","OC","Sigla da UF da placa do veículo"
"C170","2","NUM_ITEM","int","","True","True","","","","003","","N","","O","O","Número sequencial do item no documento fiscal"
"C170","3","COD_ITEM","char","","True","True","","","","060","","C","","O","O","Código do item (campo 02 do Registro 0200)"
"C170","4","DESCR_COMPL","char","","","","","True","True","","","C","","OC","OC","Descrição complementar do item como adotado no documento fiscal"
"C170","5","QTD","float","","True","True","","","","","05","N","","O","O","Quantidade do item"
"C170","6","UNID","char","","True","True","","","","006","","C","","O","O","Unidade do item (Campo 02 do registro 0190)"
"C170","7","VL_ITEM","float","","True","True","","","","","02","N","","O","O","Valor total do item (mercadorias ou serviços)"
"C170","8","VL_DESC","float","","","","","True","True","","02","N","","OC","OC","Valor do desconto comercial"
"C170","9","IND_MOV","char","","True","True","","","","001*","","C","","O","O","Movimentação física do ITEM/PRODUTO: 0. SIM 1. NÃO"
"C170","10","CST_ICMS","int","","True","True","","","","003*","","N","","O","O","Código da Situação Tributária referente ao ICMS, conforme a Tabela indicada no item 4.3.1"
"C170","11","CFOP","int","","True","True","","","","004*","","N","","O","O","Código Fiscal de Operação e Prestação"
"C170","12","COD_NAT","char","","","","","True","True","010","","C","","OC","OC","Código da natureza da operação (campo 02 do Registro 0400)"
"C170","13","VL_BC_ICMS","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo do ICMS"
"C170","14","ALIQ_ICMS","float","","","","","True","True","006","02","N","","OC","OC","Alíquota do ICMS"
"C170","15","VL_ICMS","float","","","","","True","True","","02","N","","OC","OC","Valor do ICMS creditado/debitado"
"C170","16","VL_BC_ICMS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo referente à substituição tributária"
"C170","17","ALIQ_ST","float","","","","","True","True","","02","N","","OC","OC","Alíquota do ICMS da substituição tributária na unidade da federação de destino"
"C170","18","VL_ICMS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor do ICMS referente à substituição tributária"
"C170","19","IND_APUR","char","","","","","True","True","001*","","C","","OC","OC","Indicador de período de apuração do IPI: 0 - Mensal; 1 - Decendial"
"C170","20","CST_IPI","char","","","","","True","True","002*","","C","","OC","OC","Código da Situação Tributária referente ao IPI, conforme a Tabela indicada no item 4.3.2."
"C170","21","COD_ENQ","char","","","","","True","True","003*","","C","","OC","OC","Código de enquadramento legal do IPI, conforme tabela indicada no item 4.5.3."
"C170","22","VL_BC_IPI","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo do IPI"
"C170","23","ALIQ_IPI","float","","","","","True","True","006","02","N","","OC","OC","Alíquota do IPI"
"C170","24","VL_IPI","float","","","","","True","True","","02","N","","OC","OC","Valor do IPI creditado/debitado"
"C170","25","CST_PIS","int","","","","","True","True","002*","","N","","OC","OC","Código da Situação Tributária referente ao PIS."
"C170","26","VL_BC_PIS","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo do PIS"
"C170","27","ALIQ_PIS","float","","","","","True","True","008","04","N","","OC","OC","Alíquota do PIS (em percentual)"
"C170","28","QUANT_BC_PIS","float","","","","","True","True","","03","N","","OC","OC","Quantidade – Base de cálculo PIS"
"C170","29","ALIQ_PIS","float","","","","","True","True","","04","N","","OC","OC","Alíquota do PIS (em reais)"
"C170","30","VL_PIS","float","","","","","True","True","","02","N","","OC","OC","Valor do PIS"
"C170","31","CST_COFINS","int","","","","","True","True","002*","","N","","OC","OC","Código da Situação Tributária referente ao"
"C170","32","VL_BC_COFINS","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo da COFINS"
"C170","33","ALIQ_COFINS","float","","","","","True","True","008","04","N","","OC","OC","Alíquota do COFINS (em percentual)"
