"register","index","code","type","required","values","length","xsd_type","decimal","spec_type","spec_values","spec_required","desc"
"0000","12","RETIFICADORA","char","True","['S', 'N', 'F']","1","","","C","[S; N; F]","Sim","A pessoa jurídica deve assinalar este campo no caso de escrituração retificadora ou escrituração com mudança de forma de tributação: S – ECF retificadora N – ECF original F – ECF original com mudança de forma de tributação (Art. 6º-A, § 2º, da Instrução Normativa RFB nº 1.422/2013). A pessoa jurídica poderá efetuar a remessa de arquivo em retificação ao arquivo anteriormente remetido, observando-se a permissão, as regras e prazos estabelecidos pela Secretaria da Receita Federal do Brasil (RFB). Atenção: A substituição das ECF já transmitidas deverá ser feita na sua íntegra, pois a ECF não aceita arquivos complementares para o mesmo período informado. Como há controle de saldos, se houver substituição de uma ECF, pode haver a necessidade de substituição de ECF já transmitidas de anos posteriores."
"0000","13","NUM_REC","char","False","","41","","","C","","Não","Número do Recibo da ECF Anterior (hashcode): Este campo deve ser preenchido com o número constante no recibo de entrega da última ECF transmitida, nos casos de 0000.RETIFICADORA = “S” ou “F”."
"0000","14","TIP_ECF","int","True","['0', '1', '2']","1","","","N","[0; 1; 2]","Sim","Indicador do Tipo da ECF: 0 – ECF de empresa não participante de SCP como sócio ostensivo. 1 – ECF de empresa participante de SCP como sócio ostensivo. 2 – ECF da SCP."
"0000","15","COD_SCP","char","False","","14","numeric_code","","N","","Não","CNPJ da SCP (Art. 4º, XVII, da Instrução Normativa RFB nº 1.634, de 6 de maio de 2016). Observação: Só deve ser preenchido pela própria SCP (Não é preenchido pelo sócio ostensivo)."
"0001","2","IND_DAD","char","True","['0', '1']","1","numeric_code","","N","[0;1]","Sim","Indicador de movimento: 0 – Bloco com dados informados. 1 – Bloco sem dados informados."
"0010","2","HASH_ECF_ANTERIOR","char","False","","40","","","C","","Não","Hashcode da ECF do período imediatamente anterior a ser recuperado. Campo preenchido automaticamente pelo sistema."
"0010","3","OPT_REFIS","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Indicador de Optante pelo Refis: S - Sim N – Não A pessoa jurídica deve assinalar este campo quando for optante pelo Programa de Recuperação Fiscal (Refis). Atenção: Este campo só deve ser assinalado pela pessoa jurídica optante pelo Programa de Recuperação Fiscal (Refis), instituído pela Lei nº 9.964, de 10 de abril de 2000, e que dele não tenha sido excluída. A pessoa jurídica que for apenas optante pelo Parcelamento Especial (Paes) de que trata a Lei nº 10.684, de 30 de maio de 2003, e outros reparcelamentos não deve assinalar este campo."
"0010","4","FORMA_TRIB","int","True","['1', '2', '3', '4', '5', '6', '7', '8', '9']","1","","","N","[1;2;3;4;5;6;7;8;9]","Sim","Forma de Tributação: 1 – Lucro Real. 2 – Lucro Real/Arbitrado. 3 – Lucro Presumido/Real. 4 – Lucro Presumido/Real/Arbitrado. 5 – Lucro Presumido."
"0010","5","FORMA_APUR","char","False","['T', 'A']","1","","","C","[T;A]","Não","Indicador do Período de Apuração do IRPJ e da CSLL: T – Trimestral A – Anual"
"0010","6","COD_QUALIF_PJ","char","False","['01', '02', '03']","2","","","C","[01;02;03]","Não","Qualificação da Pessoa Jurídica: 01 – PJ em Geral 02 – PJ Componente do Sistema Financeiro 03 – Sociedades Seguradoras, de Capitalização ou Entidade Aberta de Previdência Complementar Atenção: Não preencher no caso de imunes e isentas (preencher o 0010.TIP_ENT)."
"0010","7","FORMA_TRIB_PER","char","False","['0', 'R', 'P', 'A', 'E']","4","","","C","[0;R;P;A;E]","Não","Forma de Tributação no Período: Forma de tributação no período considerando para cada trimestre no formato XXXX onde X é igual a: 0 – ZERO – Não informado – trimestre não compreendido no período de apuração. R – Real P – Presumido A – Arbitrado E – Real Estimativa (somente utilizado no caso da observação abaixo). Observação: Caso 0010.FORMA_TRIB seja igual “3” (Presumido/Real) ou “4” (Presumido/Real/Arbitrado) e houver opção pelo REFIS (0010.OPT_REFIS), o período tributado pelo lucro real deve ter somente a forma de apuração trimestral (Caso em que deve ser utilizado “R” em 0010.FORMA_TRIB_PER) ou somente a forma de apuração correspondente à anual/estimativa (Caso em que deve ser utilizado “E” em 0010.FORMA_TRIB_PER) ."
"0010","8","MES_BAL_RED","char","False","['0', 'E', 'B']","12","","","C","[0;E;B]","Não","Forma de Apuração da Estimativa Mensal: Indicação da forma de apuração da estimativa mensal, quando 0010.FORMA_APUR = “A”, considerando o formato XXXXXXXXXXXX onde X é referente a um mês e é igual a: 0 – Fora do Período: Fora do período de apuração/ Forma de tributação diferente de “R” ou “E”. E – Receita Bruta: Estimativa com base na receita bruta e acréscimos. B – Balanço ou Balancete: Estimativa com base no balanço ou balancete de suspensão/redução. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER como diferente de “R” e “E” devem estar preenchidos com zero “0”. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER iguais a “R” ou “E” devem estar preenchidos com “E” ou “B”."
"0010","9","TIP_ESC_PRE","char","False","['L', 'C']","1","","","C","[L;C]","Não","A Escrituração: C – Obrigada a entregar a ECD ou entrega facultativa (haverá recuperação dos dados). L – Não obrigada a entregar a ECD/Livro Caixa (Opção do Lucro Presumido - parágrafo único do art. 45 da Lei nº 8.981, de 1995). tenção: - Este campo deve ser preenchido pelas pessoas jurídicas tributadas pelo lucro presumido e as imunes ou isentas. - Caso a pessoa jurídica entregue a ECD facultativamente e não queira recuperar os dados da ECD, deve utilizar a opção “L”."
"0010","10","TIP_ENT","char","False","['01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '99']","2","numeric_code","","N","[01;02;03;04;05;06 ;07;08;09;10;11;12 ;13;14;15;99]","Não","C C C C C Tipo de Pessoa Jurídica Imune ou Isenta: 01 – Assistência Social 02 – Educacional 03 – Sindicato de Trabalhadores 04 – Associação Civil 05 – Cultural 06 – Entidade Fechada de Previdência Complementar 07 – Filantrópica 08 – Sindicato 09 – Recreativa 10 – Científica 11 – Associação de Poupança e Empréstimo 12 – Entidade Aberta de Previdência Complementar (Sem Fins Lucrativos) 13 – Fifa e Entidades Relacionadas 14 – CIO e Entidades Relacionadas 15 – Partidos Políticos 99 – Outras. Observação: Este campo é obrigatório para 0010.FORMA_TRIB igual a “8” (Imune do IRPJ) ou “9” (Isenta do IRPJ). aso 0010.TIP_ENT = “01”, “02”, “03”, “04”, “05”, “07”, “08”, “09”, “10”, “13”, “14” ou “99”, os planos referenciais serão U100A e U150A. aso 0010.TIP_ENT = “11”, os planos referenciais serão U100B e U150B. aso 0010.TIP_ENT = “12”, os planos referenciais serão U100C e U150C. aso 0010.TIP_ENT = “06”, os planos referenciais serão U100D e U150D. aso 0010.TIP_ENT = “15”, os planos referenciais serão U100E e U150E."
"0010","11","FORMA_APUR_I","char","False","['A', 'T', 'D']","1","","","C","[A;T;D]","Não","Apuração do IRPJ para Imunes ou Isentas: Existência ou não de atividade não abrangida pela imunidade ou isenção e tributada pelo IRPJ (para imunes ou isentas): A – Anual T – Trimestral D – Desobrigada"
"0010","12","APUR_CSLL","char","False","['A', 'T', 'D']","1","","","C","[A;T;D]","Não","Apuração da CSLL para Imunes ou Isentas: A – Anual, se optou pela apuração da CSLL sobre a base de cálculo estimada, facultada a opção pelo levantamento de balanço ou balancete de suspensão ou redução. T – Trimestral, no caso de ter adotado a apuração trimestral da CSLL. D – Desobrigada, na hipótese de pessoa jurídica imune ou isenta da CSLL. Atenção: 1) As entidades sem fins lucrativos de que trata o inciso I do art. 12 do Decreto nº 3.048, de 6 de maio de 1999, que não se enquadram na imunidade e isenção da Lei nº 9.532, de 10 de dezembro de 1997, estão sujeitas à CSLL, devendo apurar a base de cálculo e a contribuição devida nos termos da legislação comercial. 2) As associações de poupança e empréstimo devem apurar a contribuição social sobre o lucro líquido. 3) São isentas da CSLL as entidades fechadas de previdência complementar, relativamente aos fatos geradores ocorridos a partir de 1º de janeiro de 2002. Observação: Este campo é obrigatório para 0010.FORMA_TRIB igual a “8” (Imune do IRPJ) ou “9” (Isenta do IRPJ)."
"0010","13","IND_REC_RECEITA","char","False","['1', '2']","1","numeric_code","","N","[1;2]","Não","Critério de reconhecimento de receitas para empresas tributadas pelo Lucro Presumido (Art. 215, § 9º, Instrução Normativa RFB nº 1.700/2017): 1. Regime de caixa 2. Regime de competência"
"0020","2","IND_ALIQ_CSLL","char","True","['1', '3', '4']","1","numeric_code","","N","[1;3;4]","Sim","PJ Sujeita à Alíquota da CSLL de 9% ou 15% ou 20%: 1 – Alíquota de 9% 5 – Alíquota de 20%-25% 6 – Alíquota de 15%-20%"
"0020","3","IND_QTE_SCP","char","True","","3","numeric_code","","N","","Sim","Quantidade total de SCP do Sócio Ostensivo de SCP."
"0020","4","IND_ADM_FUN_CLU","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Administradora de Fundos e Clubes de Investimento: S – Sim N – Não"
"0020","5","IND_PART_CONS","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Participações em Consórcios de Empresas: S – Sim N – Não A pessoa jurídica participante de consórcio constituído nos termos do disposto nos arts. 278 e 279 da Lei nº 6.404, de 15 de dezembro de 1976, deve assinalar este campo. Atenção: Somente deve ser assinalado este campo quando houver receita de pelo menos uma consorciada."
"0020","6","IND_OP_EXT","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Operações com o Exterior: S – Sim N – Não A pessoa jurídica, inclusive instituição financeira ou companhia seguradora, conforme relacionadas no § 1º do art. 22 da Lei nº 8.212, de 1991, e no inciso II do art. 14 da Lei nº 9.718, de 1998, que realizou exportação/importação de bens, serviços ou direitos ou auferiu receitas financeiras ou incorreu em despesas financeiras em operações efetuadas com pessoa física ou jurídica residente ou domiciliada no exterior, ainda que essas operações não tenham sido realizadas com pessoa vinculada ou com pessoa residente ou domiciliada em país ou dependência com tributação favorecida ou cuja legislação interna oponha sigilo relativo à composição societária de pessoas jurídicas ou a sua titularidade, deve assinalar este campo. Deve também assinalar este campo a pessoa jurídica, inclusive instituição financeira ou companhia seguradora, que realizar as operações acima referidas por intermédio de interposta pessoa."
"0020","7","IND_OP_VINC","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Operações com Pessoa Vinculada/Interposta Pessoa / País com Tributação Favorecida. S – Sim N – Não Deve assinalar este campo, a pessoa jurídica, inclusive instituição financeira ou companhia seguradora, conforme relacionadas no § 1º do art. 22 da Lei nº 8.212, de 1991, e no inciso II do art. 14 da Lei nº 9.718, de 1998, que realizou exportação/importação de bens, serviços ou direitos ou auferiu receitas financeiras ou incorreu em despesas financeiras em operações efetuadas com pessoa física ou jurídica residente ou domiciliada no exterior, considerada pela legislação brasileira: a) pessoa vinculada; b) pessoa residente ou domiciliada em países com tributação favorecida ou cuja legislação interna oponha sigilo relativo à composição societária de pessoas jurídicas ou a sua titularidade; e c) a partir de 1º de janeiro de 2009, pessoa residente ou domiciliada no exterior, que goze, nos termos da legislação, de regime fiscal privilegiado (Art. 24-A da Lei nº 9.430, de 1996, instituído pela Lei nº 11.727, de 2008). Deve também assinalar este campo a pessoa jurídica, inclusive instituição financeira ou companhia seguradora, que realizar as operações acima referidas por intermédio de interposta pessoa."
"0020","8","IND_PJ_ENQUAD","char","True","['S', 'N']","1","","","C","[S;N]","Sim","PJ Enquadrada nos artigos 48 ou 49 da Instrução Normativa RFB nº 1.312/2012: S – Sim N – Não"
"0020","9","IND_PART_EXT","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Participações no Exterior: A pessoa jurídica deve assinalar este campo, caso tenha participações no exterior. S – Sim N – Não"
"0020","10","IND_ATIV_RURAL","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Atividade Rural: A pessoa jurídica deve assinalar este campo, caso explore atividade rural. S – Sim N – Não"
"0020","11","IND_LUC_EXP","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Existência de Lucro da Exploração: S – Sim N – Não Este campo deve ser assinalado pelas pessoas jurídicas que adotam a forma de tributação pelo lucro real, inclusive se optantes pelo Refis, que gozem de benefícios fiscais calculados com base no lucro da exploração."
"0020","12","IND_RED_ISEN","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Isenção e Redução do Imposto para Lucro Presumido: S – Sim N – Não A pessoa jurídica tributada pelo lucro presumido e optante pelo Refis deve assinalar este campo caso usufrua benefícios fiscais relativos a isenção ou redução do imposto de renda."
"0020","13","IND_FIN","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Indicativo da Existência de FINOR/FINAM: S – Sim N – Não Este campo deve ser assinalado pelas pessoas jurídicas ou grupos de empresas coligadas de que trata o art. 9º da Lei nº 8.167, de 1991, alterado pela Medida Provisória nº 2.199-14, de 24 de agosto de 2001, titulares de empreendimento de setor da economia considerado, em ato do Poder Executivo, prioritário para o desenvolvimento regional, aprovado ou protocolizado até 2 de maio de 2001 nas áreas da Sudam e da Sudene ou do Grupo Executivo para Recuperação Econômica do Estado do Espírito Santo (Geres) (MP nº 2.199-14, de 2001, art. 4º, e MP nº 2.145, de 2 de maio de 2001, art. 50, XX, atuais MP nº 2.156-5, de 2001, art. 32, XVIII, e nº 2.157-5, de 2001, art. 32, IV)."
"0020","14","IND_PART_COLIG","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Participação Avaliada pelo Método de Equivalência Patrimonial: S – Sim N – Não A pessoa jurídica domiciliada no Brasil, que teve participações permanentes, no ano- calendário, em capital de pessoa jurídica domiciliada no Brasil ou no exterior, considerada, pela legislação brasileira, avaliada pelo método de equivalência patrimonial, deve assinalar este campo."
"0020","15","IND_REC_EXT","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Recebimentos do Exterior ou de Não Residentes: S – Sim N – Não Deve assinalar este campo, a pessoa jurídica que recebeu, durante o ano-calendário, de pessoas físicas ou jurídicas, residentes ou domiciliadas no exterior ou de não-residentes: - quaisquer valores mediante operações de câmbio de qualquer natureza; - quaisquer valores por intermédio de transferências internacionais em reais (TIR), ou seja, provenientes de conta bancária em reais (R$) titulada por não-residente; - valores iguais ou superiores a R$ 120.000,00 (cento e vinte mil reais), equivalentes a R$ 10.000,00 por mês, por intermédio de cartões de crédito; - quaisquer valores por intermédio de depósitos em contas bancárias mantidas no exterior."
"0020","16","IND_ATIV_EXT","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Ativos no Exterior: S – Sim N – Não Preenchida por todas as pessoas jurídicas (Sim), salvo quando o valor contábil total dos ativos a declarar, convertido para Reais no final do período abrangido pela ECF, for inferior a R$ 100.000,00 (cem mil reais) (Não)."
"0020","17","IND_PGTO_EXT","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Pagamentos ao Exterior ou a Não Residentes: S – Sim N – Não Deve assinalar este campo, a pessoa jurídica que tiver pagado, creditado, entregado, empregado ou remetido, durante o ano-calendário, a pessoas físicas ou jurídicas, residentes ou domiciliadas no exterior ou a não-residentes: - quaisquer valores mediante operações de câmbio de qualquer natureza; - quaisquer valores por intermédio de transferências internacionais em reais (TIR), ou seja, pela utilização de reais (R$) para crédito de conta bancária titulada por não-residentes; - valores iguais ou superiores a R$ 120.000,00 (cento e vinte mil reais), equivalentes a R$ 10.000,00 por mês, por intermédio de cartões de crédito; - quaisquer valores mediante a utilização de recursos mantidos no exterior."
"0020","18","IND_E_COM_TI","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Comércio Eletrônico e Tecnologia da Informação: S – Sim N – Não A pessoa jurídica que efetuou durante o ano-calendário vendas de bens (tangíveis ou intangíveis) ou tiver prestado serviços, por meio da Internet, para pessoas físicas e jurídicas, residentes ou domiciliadas no Brasil ou no exterior, deve assinalar este campo. Ao assinalar este campo, são disponibilizados os registros X400 (Comércio Eletrônico e Tecnologia da Informação) e X410 (Comércio Eletrônico)."
"0020","19","IND_ROY_REC","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Royalties Recebidos do Brasil e do Exterior: S – Sim N – Não A pessoa jurídica que tiver recebido, durante o ano-calendário, de pessoas físicas ou jurídicas, residentes ou domiciliadas no Brasil ou no exterior, rendimentos a título de royalties relativos a: exploração econômica dos direitos patrimoniais do autor, de marcas, de patentes e de desenho industrial; exploração de know-how; exploração de franquias e exploração dos direitos relativos à propriedade intelectual referente a cultivares, deve preencher este campo com “Sim”."
"0020","20","IND_ROY_PAG","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Royalties Pagos a Beneficiários do Brasil e do Exterior: S – Sim N – Não A pessoa jurídica que tiver efetuado pagamento ou remessa, durante o ano-calendário, a pessoas físicas ou jurídicas, residentes ou domiciliadas no Brasil ou no exterior, a título de royalties relativos a: exploração econômica dos direitos patrimoniais do autor, de marcas, de patentes e de desenho industrial; exploração de know-how; exploração de franquias e exploração dos direitos relativos à propriedade intelectual referente a cultivares, deve preencher este campo com “Sim”."
"0020","21","IND_REND_SERV","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Rendimentos Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior: S – Sim N – Não A pessoa jurídica que tiver recebido, durante o ano-calendário, de pessoas físicas ou jurídicas, residentes ou domiciliadas no Brasil ou no exterior, rendimentos relativos a: serviços de assistência técnica, científica, administrativa e semelhantes que impliquem transferência de tecnologia; serviços técnicos e de assistência que não impliquem transferência de tecnologia; juros sobre capital próprio, bem como juros decorrentes de contratos de mútuo entre empresas ligadas e juros decorrentes de contratos de financiamento; dividendos decorrentes de participações em outras empresas, deve preencher este campo com “Sim”."
"0020","22","IND_PGTO_REM","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Pagamentos ou Remessas a Título de Serviços, Juros e Dividendos a Beneficiários do Brasil e do Exterior: S – Sim N – Não A pessoa jurídica que tiver pagado ou remetido, durante o ano-calendário, a pessoas físicas ou jurídicas, residentes ou domiciliadas no Brasil ou no exterior, valores relativos a: serviços de assistência técnica, científica, administrativa e semelhantes que impliquem transferência de tecnologia; serviços técnicos e de assistência que não impliquem transferência de tecnologia; juros sobre capital próprio, bem como juros decorrentes de contratos de mútuo entre empresas ligadas e juros decorrentes de contratos de financiamento; dividendos decorrentes de participações em outras empresas, deve preencher este campo com “Sim”."
"0020","23","IND_INOV_TEC","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Inovação Tecnológica e Desenvolvimento Tecnológico: S – Sim N – Não A pessoa jurídica beneficiária de incentivos fiscais relativos às atividades de pesquisa tecnológica e desenvolvimento de inovação tecnológica de que tratam os arts. 17 a 26 da Lei nº 11.196, de 21 de novembro de 2005, ou a pessoa jurídica executora dos programas de desenvolvimento tecnológico industrial ou agropecuário (PDTI/PDTA) de que trata a Lei nº 8.661, de 1993, aprovados até 31 de dezembro de 2005, que não tenha migrado para o regime estabelecido nos arts. 17 a 26 da Lei nº 11.196, de 2005, deve preencher este campo com “Sim”."
"0020","24","IND_CAP_INF","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Capacitação de Informática e Inclusão Digital: S – Sim N – Não A pessoa jurídica que tiver investido em atividades de pesquisa e desenvolvimento em tecnologia da informação no âmbito dos programas de capacitação e competitividade dos setores de informática e automação e tecnologias da informação de que trata a Lei nº 8.248, de 23 de outubro de 1991, a Lei nº 10.176, de 11 de janeiro de 2001, e a Lei nº 11.077, de 30 de dezembro de 2004, regulamentadas pelo Decreto nº 5.906, de 26 de setembro de 2006, ou tiver efetuado venda a varejo nos termos dos arts. 28 a 30 da Lei nº 11.196, de 2005, que dispõem sobre o programa de inclusão digital, deve preencher este campo com “Sim”."
"0020","25","IND_PJ_HAB","char","True","['S', 'N']","1","","","C","[S;N]","Sim","PJ Habilitada no Repes, Recap, Padis, PATVD, Reidi, Repenec, Reicomp, Retaero, Recine, Resíduos Sólidos, Recopa, Copa do Mundo, Retid, REPNBL-Redes, Reif e Olimpíadas: S – Sim N – Não A pessoa jurídica habilitada no Regime Especial de Tributação para a Plataforma de Exportação de Serviços de Tecnologia da Informação (Repes) ou no Regime Especial de Aquisição de Bens de Capital para Empresas Exportadoras (Recap) instituídos pela Lei nº 11.196, de 2005, regulamentados pelos Decretos nº 5.712, de 2 de março de 2006, e nº 5.649, de 29 de dezembro de 2005, respectivamente, deve assinalar este campo. Também deve assinalar este campo a pessoa jurídica executora de projeto aprovado no âmbito do Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores (Padis) ou do Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Equipamentos para TV Digital (PATVD), instituídos pela Lei nº 11.484, de 2007. Este campo deve também ser assinalado pela pessoa jurídica habilitada ou co-habilitada no Regime Especial de Incentivos e Desenvolvimento da Infraestrutura (Reidi), instituído pela Lei nº 11.488, de 15 de junho de 2007, e regulamentado pelo Decreto nº 6.144, de 3 de julho de 2007, com alterações introduzidas pelo Decreto nº 6.167, de 24 de julho de 2007. Habilitada ou co-habilitada no Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura da Indústria Petrolífera das Regiões Norte, Nordeste e Centro-Oeste (Repenec), instituído pela Lei nº 12.249, de 2010, regulamentado pelo Decreto nº 7.320, de 28 de setembro de 2010. Habilitada no Regime Especial de Incentivo a Computadores para Uso Educacional (REICOMP), instituído pela Lei nº 12.715, de 17 de setembro de 2012. Habilitada no Regime Especial para a Indústria Aeronáutica Brasileira (Retaero), instituído pela Lei nº 12.249, de 2010."
"0020","26","IND_POLO_AM","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Pólo Industrial de Manaus e Amazônia Ocidental: S – Sim N – Não A pessoa jurídica que estiver localizada na área de atuação da Superintendência da Zona Franca de Manaus (Suframa) que seja beneficiária dos incentivos de que trata o Decreto-lei nº 288, de 28 de fevereiro de 1967, e alterações posteriores; a Lei nº 8.387, de 30 de dezembro de 1991, e alterações posteriores; ou o Decreto-lei nº 356, de 15 de agosto de 1968, e alterações posteriores (Amazônia Ocidental), deve preencher este campo com “Sim”."
"0020","27","IND_ZON_EXP","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Zonas de Processamento de Exportação: S – Sim N – Não A pessoa jurídica autorizada a operar em Zonas de Processamento de Exportação, voltadas para a produção de bens a serem comercializados no exterior, de acordo com o estabelecido pela Lei nº 11.508, de 20 de julho de 2007 e pela Lei nº 11.732, de 30 de junho de 2008, deve preencher este campo com “Sim”."
"0020","28","IND_AREA_COM","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Áreas de Livre Comércio: S – Sim N – Não A pessoa jurídica autorizada a operar nas Áreas de Livre Comércio de Boa Vista, Bonfim, Tabatinga, Macapá e Santana, Brasiléia, Cruzeiro do Sul ou Guajará-Mirim, beneficiária dos incentivos de que tratam a Lei nº 8.256, de 25 de novembro de 1991, a Lei nº 11.732, de 30 de junho de 2008, a Lei nº 7.965, de 22 de dezembro de 1989, a Lei nº 8.387, de 30 de dezembro de 1991, o Decreto nº 517, de 8 de maio de 1992, a Lei nº 8.857, de 8 de março de 1994, e a Lei nº 8.210, de 19 de julho de 1991, e alterações posteriores, deve preencher este campo com “Sim”."
"0020","29","IND_PAIS_A_PAIS","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Enditdade Integrante de Grupo Multinacional: A pessoa jurídica é entidade integrante de grupo multinacional, nos termos da Instrução Normativa RFB nº 1.681/2016? S - Sim N - Não"
"0020","30","IND_DEREX","char","True","['S', 'N']","1","","","C","[S;N]","Sim","Declaração sobre utilização dos recursos em moeda estrangeira decorrentes do recebimento de exportações (DEREX) S – Sim N – Não"
"0021","2","IND_REPES","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial de Tributação para a Plataforma de Exportação de Serviços de Tecnologia da Informação (Repes): S - Sim N – Não"
"0021","3","IND_RECAP","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial de Aquisição de Bens de Capital para Empresas Exportadoras (Recap): S - Sim N – Não"
"0021","4","IND_PADIS","char","False","['S', 'N']","1","","","C","[S;N]","Não","Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores (Padis): S - Sim N – Não"
"0021","5","IND_PATVD","char","False","['S', 'N']","1","","","C","[S;N]","Não","Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Equipamentos para TV Digital (PATVD): S - Sim N – Não"
"0021","6","IND_REIDI","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura (Reidi): S - Sim N – Não"
"0021","7","IND_REPENEC","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura da Indústria Petrolífera das Regiões Norte, Nordeste e Centro-Oeste (Repenec): S - Sim N – Não"
"0021","8","IND_REICOMP","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial de Incentivo a Computadores para Uso Educacional (Reicomp): S - Sim N – Não"
"0021","9","IND_RETAERO","char","False","['S', 'N']","1","","","C","[S;N]","Não","Regime Especial para a Indústria Aeronáutica Brasileira (Retaero): S - Sim N – Não"
